latitude,longitude,beds,code,area,super_area,icu_beds
-36.40106273366574,174.65415656230346,13,F2T079-G,111300,2,1
-36.7703694056839,174.7326027103312,70,F08099-F,123500,2,7
-38.15831882898358,176.23952344544819,17,F0F038-J,200700,4,1
-41.309392001583994,174.7754969825868,37,F0B090-B,253000,9,3
-36.887520366755794,174.80060712265015,86,F0D025-A,141000,2,8
-36.8734845306198,174.77050822195272,105,F09028-K,138700,2,10
-38.664745206927876,178.01771430760166,16,F09084-J,206800,5,1
-41.31083681073866,174.78295849763518,22,F0A039-H,252900,9,2
-37.80316648974339,175.31676813109135,12,F0F061-D,181200,3,1
-45.09914739005271,170.96838244577762,44,F06020-A,344400,14,4
-37.79322165500019,175.28909741489886,10,F0E051-G,179700,3,1
-36.92236870092898,174.9137124418622,20,F03053-A,153900,2,2
-41.53613865966304,173.94575104628996,9,F0C006-C,308300,18,0
-40.34900369581811,175.61193528825933,30,F0A017-J,230500,8,3
-43.510659672660054,172.61851743678272,98,F0A075-A,322200,13,9
-36.78222531037989,174.75591073602473,30,F39009-B,125500,2,3
-43.52603940133079,172.63790069184907,30,F3H097-J,325800,13,3
-36.88115545907527,174.7723757035734,20,F09052-G,138700,2,2
-46.103002010683134,168.936982687846,20,F0D027-E,360200,15,2
-42.463444053929415,171.19272754866478,120,F06046-H,310300,12,12
-39.628606249009245,176.82540302110783,364,F03084-A,209500,6,36
-36.78386699130322,174.7570641390918,14,F0C010-E,126600,2,1
-41.14675963554661,174.83526935826586,131,F06037-G,239900,9,13
-37.00834380756547,174.8875988368621,78,F03065-H,159100,2,7
-41.28747616170698,173.27082340179612,26,F04000-G,305200,17,2
-45.861471467339136,170.49950165289383,66,F0B005-G,351500,14,6
-41.80620274010246,172.32840854744742,8,F04008-A,301800,16,0
-36.96482406334469,174.9052398624087,32,F0F032-H,157300,2,3
-39.68056532856272,175.79509582367615,2,F2K092-C,226500,8,0
-43.906139710756406,171.75306216791623,37,F03024-E,338300,13,3
-38.333796463035526,175.1531557473024,16,F05078-E,187300,3,1
-39.642638907732845,176.8364685467553,8,F09091-F,210300,6,0
-37.003618848461315,174.91711831757547,18,F0B061-F,159300,2,1
-36.963548418819045,174.8422638253969,905,F03029-D,152700,2,90
-36.921186991032,174.91371877194908,15,,153900,2,1
-38.88977471909739,175.25244026561592,14,F0R078-E,222600,8,1
-37.69527053927776,176.1062796364047,12,F3K026-G,193000,4,1
-36.97103329545379,174.797210582693,20,F3M305-K,150200,2,2
-45.253243505444914,169.38775602035415,4,F0C094-D,345600,14,0
-41.32432697694584,173.229687426864,10,F0D059-G,305800,17,1
-43.51069091828219,172.62257609914204,11,F0D001-J,322200,13,1
-36.87390967209459,174.78379601594486,4,F3K625-G,139400,2,0
-36.873525521151194,174.78039189235068,4,F0H043-A,139400,2,0
-36.84755377795547,174.77448382257765,4,F06098-E,134500,2,0
-41.20415465597773,174.91214220901642,12,F3L810-G,244300,9,1
-41.21841086103088,174.90473503500994,10,F0A036-B,245300,9,1
-41.204495850922385,174.92442948464867,322,F06034-A,245100,9,32
