output_area,ethnicity,0,15,30,65
125900,European,167,195,643,543
126000,European,251,246,552,289
126100,European,179,185,507,221
126200,European,407,451,894,323
126300,European,391,331,940,348
126400,European,371,326,695,199
126500,European,282,327,784,318
126600,European,399,470,1195,980
126700,European,250,294,631,260
126800,European,153,320,933,711
126900,European,379,412,858,259
127000,European,402,425,972,283
127100,European,130,198,315,168
127200,European,36,199,138,360
127300,European,240,316,640,218
127400,European,486,393,1180,376
127500,European,61,78,197,424
127600,European,317,274,844,253
127700,European,325,258,581,169
127800,European,171,136,268,62
127900,European,188,180,449,357
128000,European,168,140,476,119
128100,European,199,271,579,204
128200,European,486,410,1155,410
128300,European,405,330,692,184
128400,European,208,226,478,190
128500,European,359,333,733,312
128600,European,173,182,534,288
128800,European,592,496,1336,406
128900,European,367,330,768,265
129000,European,205,172,298,58
129100,European,447,419,891,288
129200,European,537,400,1183,735
129300,European,423,406,870,349
129400,European,390,453,943,290
129500,European,226,200,450,133
129600,European,419,361,762,264
129700,European,463,421,1292,421
129800,European,409,341,897,180
129900,European,774,529,1698,314
130000,European,378,307,927,212
130100,European,369,336,754,185
130200,European,168,358,931,358
130300,European,494,425,1209,161
130400,European,367,308,858,125
130500,European,164,164,302,92
130600,European,331,280,678,196
130700,European,701,555,1536,541
130800,European,224,185,443,118
130900,European,544,416,1116,220
131000,European,154,136,248,78
131100,European,298,372,787,173
131200,European,360,657,1333,241
131300,European,26,137,599,186
131400,European,346,423,798,259
131500,European,393,352,880,228
131600,European,382,557,1135,141
131700,European,203,227,401,100
131800,European,289,837,1802,428
131900,European,265,295,619,169
132000,European,391,385,954,194
132100,European,354,506,990,157
132200,European,538,439,1122,185
132300,European,186,207,482,143
132400,European,35,314,319,37
132500,European,592,442,1277,304
132600,European,164,167,439,154
132700,European,46,363,548,127
132800,European,390,738,1333,141
132900,European,241,262,608,202
133000,European,541,455,1383,595
133100,European,140,223,421,248
133200,European,75,839,868,221
133300,European,61,299,664,258
133400,European,49,342,337,49
133500,European,118,484,730,56
133600,European,321,711,1239,160
133700,European,17,294,496,115
133800,European,26,220,240,47
133900,European,11,49,96,27
134000,European,303,263,785,406
134100,European,43,327,514,167
134200,European,507,466,1040,278
134300,European,62,504,707,147
134400,European,278,761,1134,95
134500,European,54,446,697,154
134600,European,557,312,1109,186
134700,European,534,384,1125,265
134900,European,213,208,529,200
135000,European,209,258,537,153
135100,European,23,719,206,29
135200,European,252,380,695,223
135300,European,52,507,400,136
135400,European,484,325,1056,271
135500,European,204,272,484,103
135600,European,112,165,307,181
135700,European,40,332,244,48
135800,European,117,245,354,98
135900,European,34,654,215,36
136000,European,65,834,1029,102
136100,European,161,519,584,255
136200,European,211,311,600,59
136300,European,474,537,1132,175
136400,European,211,1058,1376,388
136500,European,377,329,898,258
136600,European,202,221,465,131
136700,European,663,531,1655,498
136800,European,175,167,377,82
136900,European,215,371,658,159
137000,European,175,175,442,128
137100,European,109,123,243,63
137200,European,177,190,428,243
137300,European,233,130,442,281
137400,European,325,532,1295,569
137500,European,482,297,1042,193
137600,European,223,223,498,87
137700,European,26,207,323,36
137800,European,239,672,972,364
137900,European,115,134,219,69
138000,European,347,282,808,678
138100,European,430,477,929,158
138200,European,333,338,790,127
138300,European,244,241,469,203
138400,European,419,530,1116,190
138500,European,135,470,805,496
138600,European,107,129,280,118
138700,European,222,464,655,287
138900,European,273,336,760,521
139000,European,299,500,822,210
139100,European,81,108,138,70
139200,European,296,349,953,393
139300,European,396,479,869,160
139400,European,279,432,799,335
139500,European,102,159,329,340
139600,European,121,138,298,129
139700,European,251,402,744,160
139800,European,147,217,398,217
139900,European,418,652,1044,248
140000,European,484,583,1166,509
140100,European,252,268,708,311
140200,European,166,413,514,301
140300,European,259,509,681,389
140400,European,84,194,239,135
140500,European,429,483,1142,375
140600,European,190,193,374,83
140700,European,60,96,120,57
140800,European,250,469,740,236
140900,European,218,325,653,331
141000,European,355,549,837,392
141100,European,457,537,1520,693
141200,European,98,227,353,84
141300,European,138,223,389,389
141500,European,164,293,601,331
141600,European,313,387,872,442
141700,European,180,297,575,227
141800,European,617,434,1632,769
141900,European,487,269,900,291
142000,European,142,261,439,590
142100,European,127,270,346,141
142200,European,301,593,908,261
142300,European,140,154,228,96
142400,European,441,381,954,379
142500,European,124,186,384,133
142600,European,170,246,481,320
142700,European,528,401,1310,659
142800,European,478,506,1335,314
142900,European,139,198,317,114
143000,European,592,383,1468,787
143100,European,404,563,978,398
143200,European,376,288,910,249
143300,European,359,449,1008,386
143400,European,142,246,514,313
