geography,Method of Travel to Work: Drive_a_private_car_truck_or_van; measures: Value,Method of Travel to Work: Drive_a_company_car_truck_or_van; measures: Value,Method of Travel to Work: Passenger_in_a_car_truck_van_or_company_bus; measures: Value,Method of Travel to Work: Public_bus; measures: Value,Method of Travel to Work: Train; measures: Value,Method of Travel to Work: Bicycle; measures: Value,Method of Travel to Work: Ferry; measures: Value,Method of Travel to Work: Other; measures: Value,Method of Travel to Work: Total; measures: Value,date,geography code,Rural Urban
110700,381,69,0,0,0,0,0,9,930,2018,110700,Total
110800,300,39,0,0,0,0,0,0,648,2018,110800,Total
110900,210,45,6,0,0,0,0,6,534,2018,110900,Total
111100,435,78,15,0,0,0,0,0,771,2018,111100,Total
111200,681,129,27,6,0,0,0,0,1437,2018,111200,Total
111300,597,105,36,0,0,0,0,0,1125,2018,111300,Total
111400,114,12,0,0,0,0,0,0,327,2018,111400,Total
111500,273,63,0,0,0,0,0,0,678,2018,111500,Total
111600,447,126,0,15,0,0,0,0,939,2018,111600,Total
111700,627,93,21,0,0,0,0,0,1086,2018,111700,Total
111800,108,24,0,0,0,0,0,6,294,2018,111800,Total
111900,150,6,0,0,0,0,0,0,312,2018,111900,Total
112100,267,42,0,0,0,0,0,0,594,2018,112100,Total
112200,129,6,0,0,0,0,0,0,246,2018,112200,Total
112300,270,48,0,0,0,0,0,0,525,2018,112300,Total
112400,486,90,27,0,0,0,0,0,888,2018,112400,Total
112500,225,48,6,0,0,0,0,0,516,2018,112500,Total
112600,300,51,0,6,0,0,0,0,660,2018,112600,Total
112700,654,114,9,48,0,0,0,0,1314,2018,112700,Total
112800,282,39,0,9,0,0,0,0,567,2018,112800,Total
112900,363,51,0,6,0,0,0,0,720,2018,112900,Total
113000,414,57,0,36,0,0,0,0,951,2018,113000,Total
113100,705,123,9,117,0,0,0,0,1410,2018,113100,Total
113200,219,36,0,0,0,0,0,0,465,2018,113200,Total
113300,369,60,0,63,0,0,0,0,750,2018,113300,Total
113400,246,48,0,6,0,0,0,0,582,2018,113400,Total
113500,201,36,0,6,0,0,0,0,501,2018,113500,Total
113600,363,93,9,12,0,6,0,0,753,2018,113600,Total
113900,297,39,6,15,0,0,0,0,552,2018,113900,Total
114000,762,123,18,78,0,0,0,0,1494,2018,114000,Total
114100,384,78,6,6,0,0,0,0,771,2018,114100,Total
114200,252,24,0,0,0,0,0,0,462,2018,114200,Total
114400,558,126,6,27,0,0,0,0,1017,2018,114400,Total
114500,183,30,0,0,0,0,0,0,399,2018,114500,Total
114600,504,75,0,21,0,0,0,0,972,2018,114600,Total
114700,237,33,6,0,0,0,0,0,588,2018,114700,Total
114800,183,39,0,15,0,0,0,0,429,2018,114800,Total
114900,813,132,24,66,0,0,0,0,1500,2018,114900,Total
115000,783,159,0,6,0,0,0,0,1332,2018,115000,Total
115100,513,72,6,33,0,0,0,0,966,2018,115100,Total
115200,399,72,0,33,0,0,0,0,783,2018,115200,Total
115300,117,6,0,0,0,0,0,0,327,2018,115300,Total
115400,276,45,0,0,0,0,6,0,642,2018,115400,Total
115500,381,60,9,24,0,0,0,0,930,2018,115500,Total
115600,246,36,0,21,0,0,0,0,570,2018,115600,Total
115700,504,120,6,24,0,0,75,0,1053,2018,115700,Total
115800,624,114,0,21,0,0,0,0,1215,2018,115800,Total
115900,597,93,0,6,0,0,0,0,1059,2018,115900,Total
116000,222,33,0,0,0,0,18,0,492,2018,116000,Total
116100,279,51,0,0,0,0,0,0,669,2018,116100,Total
116200,405,63,0,18,0,0,57,0,891,2018,116200,Total
116300,96,21,0,0,0,0,0,0,297,2018,116300,Total
116400,219,24,0,0,0,0,0,0,567,2018,116400,Total
116500,192,15,0,36,0,0,0,0,444,2018,116500,Total
116600,309,45,6,15,0,0,0,0,768,2018,116600,Total
116700,666,84,33,108,0,0,0,0,1245,2018,116700,Total
116800,1050,120,18,171,0,0,0,6,1878,2018,116800,Total
116900,645,60,12,138,0,0,0,0,1227,2018,116900,Total
117000,720,111,12,6,0,45,0,0,1620,2018,117000,Total
117100,159,6,0,0,0,0,0,0,363,2018,117100,Total
117200,894,132,12,111,0,0,0,0,1779,2018,117200,Total
117300,45,0,0,0,0,0,0,0,117,2018,117300,Total
117400,381,57,6,48,0,0,0,0,798,2018,117400,Total
117500,687,81,18,105,0,0,0,0,1296,2018,117500,Total
117600,645,45,24,150,0,0,0,0,1197,2018,117600,Total
117700,705,72,15,135,0,0,0,0,1293,2018,117700,Total
117800,306,6,0,75,0,0,0,0,624,2018,117800,Total
117900,861,93,27,147,0,0,0,0,1563,2018,117900,Total
118000,309,66,0,0,0,0,0,0,714,2018,118000,Total
118100,642,54,15,84,0,0,0,0,1251,2018,118100,Total
118200,978,78,18,144,0,0,0,0,1746,2018,118200,Total
118300,462,72,0,90,0,0,0,0,975,2018,118300,Total
118400,822,126,18,90,0,0,0,0,1473,2018,118400,Total
118500,789,66,18,153,0,0,0,0,1497,2018,118500,Total
118600,99,21,0,0,0,0,0,0,264,2018,118600,Total
118700,579,60,15,63,0,0,0,0,1122,2018,118700,Total
118900,747,114,6,57,0,0,0,0,1404,2018,118900,Total
119000,570,72,0,96,0,0,0,0,1164,2018,119000,Total
119100,645,84,18,84,0,0,0,0,1161,2018,119100,Total
119200,147,12,0,0,0,0,6,0,384,2018,119200,Total
119400,333,33,0,30,0,0,0,0,720,2018,119400,Total
