geography,Method of Travel to Work: Drive_a_private_car_truck_or_van; measures: Value,Method of Travel to Work: Drive_a_company_car_truck_or_van; measures: Value,Method of Travel to Work: Passenger_in_a_car_truck_van_or_company_bus; measures: Value,Method of Travel to Work: Public_bus; measures: Value,Method of Travel to Work: Train; measures: Value,Method of Travel to Work: Bicycle; measures: Value,Method of Travel to Work: Ferry; measures: Value,Method of Travel to Work: Other; measures: Value,Method of Travel to Work: Total; measures: Value,date,geography code,Rural Urban
141900,447,30,0,15,141,6,0,0,993,2018,141900,Total
142000,687,6,0,144,0,0,0,0,1248,2018,142000,Total
142100,831,24,6,138,0,0,0,0,1458,2018,142100,Total
142200,870,75,6,186,123,6,0,0,1905,2018,142200,Total
142300,573,15,6,48,0,0,0,0,1029,2018,142300,Total
142400,507,48,0,48,54,0,0,0,1065,2018,142400,Total
142500,417,24,0,63,0,0,0,0,792,2018,142500,Total
142600,408,15,6,81,0,0,0,0,906,2018,142600,Total
142700,732,51,0,69,0,6,0,0,1413,2018,142700,Total
142800,1077,99,6,96,48,0,0,0,1962,2018,142800,Total
142900,453,24,0,45,0,0,0,0,864,2018,142900,Total
143000,723,99,0,81,0,24,0,0,1548,2018,143000,Total
143100,795,90,0,102,66,0,0,0,1635,2018,143100,Total
143200,537,51,0,33,90,0,0,0,1068,2018,143200,Total
143300,597,48,0,30,162,0,0,0,1380,2018,143300,Total
143400,552,30,9,99,9,0,0,0,1071,2018,143400,Total
143500,858,78,0,72,24,6,0,0,1665,2018,143500,Total
143600,576,66,0,21,0,0,0,0,1029,2018,143600,Total
143700,531,42,0,24,51,0,0,0,1143,2018,143700,Total
143800,711,45,6,48,108,0,0,0,1500,2018,143800,Total
143900,414,18,0,42,57,0,0,0,918,2018,143900,Total
144000,954,123,6,75,27,21,0,0,1842,2018,144000,Total
144100,936,81,0,90,30,0,0,0,1659,2018,144100,Total
144300,828,57,6,72,39,0,0,0,1566,2018,144300,Total
144400,672,54,0,51,72,0,0,0,1317,2018,144400,Total
144500,576,36,21,24,75,0,0,0,1176,2018,144500,Total
144600,171,21,9,0,0,6,75,0,576,2018,144600,Total
144700,699,51,24,33,75,0,0,0,1263,2018,144700,Total
144800,537,63,0,30,105,0,0,0,1203,2018,144800,Total
144900,417,30,0,9,78,0,0,0,822,2018,144900,Total
145000,609,33,0,45,63,0,0,0,1260,2018,145000,Total
145100,834,60,0,72,33,0,0,0,1560,2018,145100,Total
145200,420,6,24,0,9,0,0,0,816,2018,145200,Total
145300,561,42,0,78,51,0,0,0,1068,2018,145300,Total
145400,12,0,0,0,0,0,0,0,72,2018,145400,Total
145500,96,6,0,0,6,0,0,0,246,2018,145500,Total
145600,624,75,18,6,114,0,0,0,1266,2018,145600,Total
145700,414,27,0,6,66,0,0,0,747,2018,145700,Total
145800,468,30,15,0,12,0,0,0,909,2018,145800,Total
145900,93,6,0,0,0,0,0,0,246,2018,145900,Total
146000,420,39,9,15,45,0,0,0,825,2018,146000,Total
146100,717,96,12,6,0,0,0,0,1218,2018,146100,Total
146200,963,60,21,72,39,0,0,0,1710,2018,146200,Total
146300,576,36,48,0,33,0,0,0,1128,2018,146300,Total
146400,561,84,0,6,0,0,24,0,1041,2018,146400,Total
146500,498,6,6,27,39,0,0,0,933,2018,146500,Total
146600,657,42,18,0,33,0,0,0,1119,2018,146600,Total
146700,6,0,0,0,0,0,0,0,30,2018,146700,Total
146800,591,84,9,0,9,0,0,0,1014,2018,146800,Total
146900,150,18,0,9,0,0,45,0,426,2018,146900,Total
147000,636,33,45,21,36,0,0,0,1185,2018,147000,Total
147100,648,33,6,18,102,0,0,0,1242,2018,147100,Total
147200,987,81,15,6,96,0,0,0,1848,2018,147200,Total
147500,750,75,6,0,0,0,0,0,1227,2018,147500,Total
147600,300,48,42,6,0,0,126,6,822,2018,147600,Total
147800,591,84,0,0,0,0,48,0,1074,2018,147800,Total
148000,357,33,0,0,0,0,15,0,654,2018,148000,Total
148100,660,99,0,6,57,0,0,0,1224,2018,148100,Total
148200,444,0,27,0,6,0,0,0,678,2018,148200,Total
148300,309,21,0,0,0,0,0,0,570,2018,148300,Total
148400,474,69,0,0,18,0,0,0,912,2018,148400,Total
148500,261,6,9,0,0,0,0,0,438,2018,148500,Total
148600,486,15,30,0,0,0,0,0,771,2018,148600,Total
148700,294,57,0,6,0,0,54,9,699,2018,148700,Total
148800,372,15,0,0,0,0,15,0,666,2018,148800,Total
148900,687,24,48,15,0,0,0,0,1041,2018,148900,Total
149000,903,78,12,6,36,0,0,0,1509,2018,149000,Total
149100,480,30,0,0,0,0,0,0,834,2018,149100,Total
149200,660,57,0,0,33,0,0,0,1083,2018,149200,Total
149300,657,54,6,6,12,0,0,0,1086,2018,149300,Total
149400,804,9,36,6,6,0,0,0,1137,2018,149400,Total
149500,471,21,27,6,6,0,0,0,768,2018,149500,Total
149700,891,102,0,0,12,0,0,0,1455,2018,149700,Total
149800,678,63,15,9,39,0,0,0,1215,2018,149800,Total
149900,531,75,6,0,0,0,0,0,1095,2018,149900,Total
150000,603,0,66,0,0,0,0,0,963,2018,150000,Total
150100,144,6,9,0,0,0,0,0,312,2018,150100,Total
150200,618,6,45,12,0,0,0,0,918,2018,150200,Total
150300,624,21,12,18,0,0,0,0,987,2018,150300,Total
150400,903,132,6,0,15,0,0,0,1551,2018,150400,Total
150500,552,72,9,0,15,0,0,0,930,2018,150500,Total
150600,855,171,6,0,12,0,30,0,1560,2018,150600,Total
150700,636,93,12,0,30,0,0,0,1062,2018,150700,Total
150800,615,39,27,0,6,0,0,0,963,2018,150800,Total
150900,384,9,6,0,6,0,0,0,627,2018,150900,Total
151000,666,9,51,0,0,0,0,0,993,2018,151000,Total
151100,192,24,0,9,0,0,45,0,480,2018,151100,Total
151200,492,9,39,0,0,0,0,0,798,2018,151200,Total
151300,1062,84,21,0,24,0,0,0,1635,2018,151300,Total
151400,597,24,24,0,18,0,0,0,1098,2018,151400,Total
151500,729,120,12,0,21,0,0,0,1221,2018,151500,Total
151600,576,12,39,12,0,0,0,0,894,2018,151600,Total
151700,117,27,0,0,0,0,18,0,351,2018,151700,Total
151800,621,9,24,0,0,0,0,0,942,2018,151800,Total
151900,621,12,36,27,21,0,0,0,996,2018,151900,Total
152000,780,81,9,0,0,0,0,0,1248,2018,152000,Total
152100,618,24,39,0,9,0,0,0,966,2018,152100,Total
152200,687,81,6,0,12,0,0,0,1116,2018,152200,Total
152400,762,132,6,0,9,0,9,0,1380,2018,152400,Total
152500,360,33,6,0,0,0,0,0,606,2018,152500,Total
152600,258,0,9,0,0,0,0,0,387,2018,152600,Total
152800,729,36,48,0,9,0,0,0,1182,2018,152800,Total
152900,471,60,0,0,12,0,0,0,807,2018,152900,Total
153000,312,12,6,0,0,0,0,0,489,2018,153000,Total
153100,546,75,0,0,6,0,0,0,912,2018,153100,Total
153200,231,6,9,0,0,0,0,0,396,2018,153200,Total
153300,786,36,33,9,21,0,0,0,1215,2018,153300,Total
153400,972,204,12,0,6,0,6,0,1725,2018,153400,Total
153500,399,6,33,0,0,0,0,0,633,2018,153500,Total
153600,354,21,12,0,0,0,0,0,573,2018,153600,Total
153700,654,66,0,0,6,0,0,0,1029,2018,153700,Total
153800,981,144,6,6,39,0,0,0,1617,2018,153800,Total
153900,435,30,0,0,6,0,0,0,729,2018,153900,Total
154000,1071,51,33,15,102,0,0,0,1758,2018,154000,Total
154100,678,39,24,18,15,0,0,0,1074,2018,154100,Total
154200,975,75,57,12,51,0,0,0,1503,2018,154200,Total
154300,645,126,6,0,0,0,9,0,1152,2018,154300,Total
154400,357,0,21,6,0,0,0,9,579,2018,154400,Total
154500,309,27,6,0,0,0,0,0,615,2018,154500,Total
154700,363,42,0,0,0,0,0,0,675,2018,154700,Total
154800,960,75,27,24,78,0,0,0,1668,2018,154800,Total
154900,1122,63,33,42,60,0,0,0,1836,2018,154900,Total
155000,636,171,0,0,0,6,33,0,1260,2018,155000,Total
155100,579,21,66,6,0,0,0,0,882,2018,155100,Total
155200,609,72,9,0,0,0,0,0,975,2018,155200,Total
155300,330,36,6,0,0,0,0,0,591,2018,155300,Total
155400,690,57,9,0,6,0,0,0,1071,2018,155400,Total
155500,123,0,0,0,0,0,0,0,234,2018,155500,Total
155600,867,63,45,24,12,0,0,0,1380,2018,155600,Total
155700,612,9,42,21,0,0,0,0,924,2018,155700,Total
155800,606,15,87,24,0,0,0,0,996,2018,155800,Total
155900,717,42,39,9,15,0,0,0,1104,2018,155900,Total
156100,474,42,0,0,9,0,0,0,759,2018,156100,Total
156200,798,45,21,18,6,0,0,0,1290,2018,156200,Total
156300,579,84,0,0,0,0,0,0,1038,2018,156300,Total
156400,576,195,0,0,0,6,66,0,1233,2018,156400,Total
156500,879,42,39,18,42,0,0,0,1371,2018,156500,Total
156600,615,51,0,0,0,0,0,0,954,2018,156600,Total
156700,459,15,15,0,6,0,0,0,729,2018,156700,Total
156800,318,6,48,0,0,0,0,0,519,2018,156800,Total
156900,969,84,9,6,9,0,0,0,1431,2018,156900,Total
157000,522,18,27,0,0,0,0,0,864,2018,157000,Total
157100,522,156,0,0,0,0,0,0,1221,2018,157100,Total
157200,330,6,21,0,0,0,0,0,510,2018,157200,Total
157300,474,39,0,0,6,0,0,0,747,2018,157300,Total
157400,450,108,0,0,0,0,45,0,885,2018,157400,Total
157500,723,18,27,6,6,0,0,0,1080,2018,157500,Total
157600,60,6,0,0,0,0,0,0,141,2018,157600,Total
157700,846,48,81,0,0,0,0,0,1257,2018,157700,Total
157800,720,57,12,0,0,0,0,0,1122,2018,157800,Total
157900,855,54,33,0,15,0,0,0,1290,2018,157900,Total
158000,516,33,15,0,0,0,0,0,786,2018,158000,Total
158100,1431,105,27,0,27,0,0,0,2097,2018,158100,Total
158200,648,33,15,0,6,0,0,0,984,2018,158200,Total
158300,906,24,36,0,6,0,0,0,1287,2018,158300,Total
158400,561,27,51,0,0,0,0,0,858,2018,158400,Total
158500,1095,81,18,0,24,0,0,0,1620,2018,158500,Total
158600,87,6,0,0,0,0,0,0,201,2018,158600,Total
158700,525,15,24,9,0,0,0,0,780,2018,158700,Total
158800,600,18,48,0,6,0,0,0,885,2018,158800,Total
158900,243,51,0,0,0,0,0,0,468,2018,158900,Total
159000,624,66,21,0,0,0,0,0,939,2018,159000,Total
159100,522,30,9,0,6,0,0,0,864,2018,159100,Total
159200,792,36,42,0,33,0,0,0,1194,2018,159200,Total
159300,870,135,18,9,21,0,0,0,1503,2018,159300,Total
159400,258,48,0,0,0,0,0,0,468,2018,159400,Total
159500,426,27,30,0,0,0,0,0,723,2018,159500,Total
159600,492,51,18,0,0,0,0,0,813,2018,159600,Total
159700,282,0,18,0,0,0,0,0,432,2018,159700,Total
159800,270,57,0,0,0,0,0,0,633,2018,159800,Total
159900,555,45,30,0,0,0,0,0,846,2018,159900,Total
160000,681,21,42,0,6,0,0,0,1056,2018,160000,Total
160100,666,42,15,0,0,0,0,0,1065,2018,160100,Total
160200,948,57,33,12,9,0,0,0,1380,2018,160200,Total
160300,621,63,0,0,36,0,0,0,1047,2018,160300,Total
160400,837,105,9,6,9,0,0,0,1329,2018,160400,Total
160500,591,51,36,0,0,0,0,0,915,2018,160500,Total
160600,750,36,12,0,9,0,0,0,1173,2018,160600,Total
160700,687,75,30,0,0,0,0,0,1122,2018,160700,Total
160800,459,27,18,0,0,0,0,0,720,2018,160800,Total
160900,642,21,9,9,6,0,0,0,981,2018,160900,Total
161000,528,33,9,0,6,0,0,0,741,2018,161000,Total
161100,768,144,9,0,24,0,0,0,1353,2018,161100,Total
161200,327,12,6,0,0,0,0,0,495,2018,161200,Total
161300,540,33,18,6,6,0,0,0,837,2018,161300,Total
161400,495,162,0,0,0,0,0,0,1140,2018,161400,Total
161500,471,66,0,0,0,0,0,0,744,2018,161500,Total
161600,351,12,18,0,6,0,0,0,624,2018,161600,Total
161800,519,126,0,0,6,0,0,0,942,2018,161800,Total
161900,339,27,0,0,0,0,0,0,597,2018,161900,Total
162000,483,9,0,6,27,0,0,0,768,2018,162000,Total
162100,1119,108,18,0,105,6,0,0,1722,2018,162100,Total
162200,153,0,0,0,0,0,0,0,252,2018,162200,Total
162300,183,27,0,0,0,0,0,0,441,2018,162300,Total
162400,429,84,0,0,0,0,0,6,864,2018,162400,Total
162500,333,81,0,0,6,0,0,0,711,2018,162500,Total
162600,213,0,0,0,0,0,0,0,399,2018,162600,Total
162700,285,90,0,0,0,0,0,0,690,2018,162700,Total
162800,267,24,0,0,15,0,0,0,477,2018,162800,Total
162900,264,45,9,0,0,0,0,0,582,2018,162900,Total
163000,789,87,6,0,45,0,0,0,1293,2018,163000,Total
163100,702,108,15,0,33,0,0,0,1215,2018,163100,Total
163200,504,48,6,0,42,0,0,0,942,2018,163200,Total
163300,417,39,6,0,6,0,0,0,714,2018,163300,Total
163400,396,54,0,0,36,0,0,0,717,2018,163400,Total
163500,633,45,12,0,6,0,0,0,1038,2018,163500,Total
163600,372,33,6,0,6,0,0,0,660,2018,163600,Total
163700,747,105,0,6,54,0,0,0,1287,2018,163700,Total
163900,525,51,0,0,30,0,0,6,885,2018,163900,Total
164000,552,93,12,0,45,0,0,0,1032,2018,164000,Total
164200,441,60,0,0,6,0,0,0,747,2018,164200,Total
164300,180,27,0,0,0,0,0,0,369,2018,164300,Total
164400,549,63,9,0,0,0,0,0,807,2018,164400,Total
164500,492,45,0,0,0,0,0,0,753,2018,164500,Total
164600,510,150,6,0,18,0,0,0,1122,2018,164600,Total
164700,255,0,0,0,0,0,0,0,393,2018,164700,Total
164800,366,27,6,0,0,0,0,0,576,2018,164800,Total
164900,201,45,0,0,0,0,0,0,381,2018,164900,Total
165000,267,63,0,0,0,0,0,0,612,2018,165000,Total
165100,348,93,0,0,0,0,0,0,759,2018,165100,Total
165200,210,60,0,0,0,0,0,0,501,2018,165200,Total
165300,828,120,18,0,15,0,0,0,1428,2018,165300,Total
165400,387,114,12,0,0,0,0,0,750,2018,165400,Total
165500,945,141,24,0,0,0,0,0,1560,2018,165500,Total
165600,291,42,6,0,0,0,0,0,564,2018,165600,Total
165700,345,51,9,0,0,0,0,0,639,2018,165700,Total
165800,510,114,15,0,6,0,0,0,924,2018,165800,Total
165900,495,123,15,0,6,0,0,0,870,2018,165900,Total
166100,312,45,6,0,0,0,0,0,525,2018,166100,Total
166200,183,42,0,0,0,0,0,0,369,2018,166200,Total
166300,306,111,6,0,0,0,0,0,744,2018,166300,Total
166400,348,90,0,0,6,0,0,0,792,2018,166400,Total
166500,189,36,24,0,0,0,0,0,495,2018,166500,Total
166700,252,51,27,0,0,9,0,0,555,2018,166700,Total
166900,234,36,18,0,0,0,0,0,522,2018,166900,Total
167000,252,81,24,0,0,18,0,0,555,2018,167000,Total
167100,633,123,54,0,0,42,0,12,1347,2018,167100,Total
167200,234,39,9,0,0,0,0,0,432,2018,167200,Total
167300,36,0,0,0,0,0,0,0,123,2018,167300,Total
167400,162,27,6,0,0,0,0,0,525,2018,167400,Total
167500,78,21,0,0,0,0,0,0,192,2018,167500,Total
167600,267,48,0,0,0,9,0,0,516,2018,167600,Total
167700,105,9,0,0,0,0,0,0,213,2018,167700,Total
167800,513,78,18,0,0,15,0,0,840,2018,167800,Total
168000,138,45,12,0,0,0,0,0,282,2018,168000,Total
168100,171,33,9,0,0,6,0,0,423,2018,168100,Total
168200,96,21,0,0,0,0,0,0,252,2018,168200,Total
168300,168,21,0,0,0,0,0,6,393,2018,168300,Total
168400,66,15,6,0,0,0,0,0,153,2018,168400,Total
168500,528,129,30,0,0,33,0,9,1143,2018,168500,Total
168600,54,6,0,0,0,0,0,0,192,2018,168600,Total
168700,102,12,0,0,0,0,0,21,423,2018,168700,Total
168800,180,39,0,0,0,0,0,6,438,2018,168800,Total
168900,195,42,0,0,0,0,0,0,381,2018,168900,Total
169000,141,30,0,0,0,0,0,24,492,2018,169000,Total
169100,216,51,0,0,0,0,0,12,642,2018,169100,Total
169200,519,87,21,0,0,18,0,0,912,2018,169200,Total
169300,291,42,0,0,0,0,0,9,753,2018,169300,Total
169400,228,30,0,0,0,0,0,0,399,2018,169400,Total
169500,198,15,9,0,0,0,0,0,315,2018,169500,Total
169600,285,30,0,0,0,6,0,0,504,2018,169600,Total
169700,480,87,6,0,0,0,0,9,1071,2018,169700,Total
169800,72,24,0,0,0,0,0,9,300,2018,169800,Total
169900,162,33,0,0,0,0,0,0,474,2018,169900,Total
170000,438,72,6,0,0,0,0,0,801,2018,170000,Total
170100,192,24,0,0,0,0,0,0,468,2018,170100,Total
170200,210,42,0,0,0,0,0,0,480,2018,170200,Total
170300,198,24,0,0,0,0,0,0,363,2018,170300,Total
170400,54,0,0,0,0,0,0,0,159,2018,170400,Total
170500,360,63,0,0,0,0,0,0,669,2018,170500,Total
170600,165,51,0,0,0,0,0,0,471,2018,170600,Total
170700,132,15,0,0,0,0,0,0,414,2018,170700,Total
170900,180,30,0,0,0,0,0,12,642,2018,170900,Total
171100,168,24,6,0,0,0,0,0,345,2018,171100,Total
171200,285,51,15,0,0,0,0,24,729,2018,171200,Total
171300,63,0,0,0,0,0,0,15,300,2018,171300,Total
171400,309,24,30,0,0,6,0,0,456,2018,171400,Total
171500,720,90,42,0,0,0,0,0,1083,2018,171500,Total
171600,483,93,27,0,0,27,0,0,1026,2018,171600,Total
171700,192,18,0,0,0,0,0,48,735,2018,171700,Total
171900,309,84,0,0,0,0,0,9,603,2018,171900,Total
172000,198,15,15,0,0,0,0,0,333,2018,172000,Total
172100,369,45,0,0,0,0,0,0,594,2018,172100,Total
172200,309,36,0,0,0,0,0,0,465,2018,172200,Total
172300,201,39,0,0,0,0,0,21,528,2018,172300,Total
172400,312,108,0,0,0,0,0,0,672,2018,172400,Total
172500,60,9,0,0,0,0,0,0,135,2018,172500,Total
172600,72,6,0,0,0,0,0,0,132,2018,172600,Total
172700,78,24,0,0,0,0,0,0,219,2018,172700,Total
172800,465,117,0,0,0,0,0,0,864,2018,172800,Total
172900,138,48,0,0,0,0,0,0,306,2018,172900,Total
173000,216,48,0,0,0,0,0,6,477,2018,173000,Total
173100,318,63,0,0,0,0,0,24,747,2018,173100,Total
173200,615,150,0,0,0,6,0,0,1245,2018,173200,Total
173300,357,51,0,0,0,0,0,9,723,2018,173300,Total
173400,282,57,0,0,0,0,0,0,672,2018,173400,Total
173500,216,21,0,0,0,0,0,15,615,2018,173500,Total
173600,168,15,0,0,0,0,0,21,585,2018,173600,Total
173700,144,30,0,0,0,0,0,30,609,2018,173700,Total
173800,261,42,9,0,0,0,0,24,726,2018,173800,Total
173900,1047,192,33,0,0,9,0,0,1599,2018,173900,Total
174000,564,48,0,0,0,9,0,0,855,2018,174000,Total
174100,462,30,15,0,0,12,0,0,732,2018,174100,Total
174200,384,48,0,0,0,6,0,0,603,2018,174200,Total
174300,183,18,0,0,0,0,0,21,462,2018,174300,Total
174400,150,6,0,0,0,0,0,45,465,2018,174400,Total
174500,144,21,0,0,0,0,0,33,570,2018,174500,Total
174600,246,45,0,0,0,0,0,9,570,2018,174600,Total
174700,141,33,0,0,0,0,0,15,444,2018,174700,Total
174800,168,30,6,0,0,0,0,18,561,2018,174800,Total
174900,606,117,30,0,0,18,0,0,1050,2018,174900,Total
175000,852,195,42,0,0,30,0,0,1515,2018,175000,Total
175100,120,6,0,0,0,0,0,21,363,2018,175100,Total
175300,762,132,0,0,0,0,0,0,1191,2018,175300,Total
175400,102,12,0,0,0,0,0,0,183,2018,175400,Total
175500,630,132,12,6,0,0,0,0,1050,2018,175500,Total
175600,156,12,0,0,0,0,0,0,264,2018,175600,Total
175700,483,72,6,9,0,30,0,0,780,2018,175700,Total
175800,834,120,9,9,0,27,0,0,1311,2018,175800,Total
175900,1149,180,24,21,0,6,0,0,1743,2018,175900,Total
176000,543,108,12,9,0,15,0,0,912,2018,176000,Total
176100,900,135,21,9,0,12,0,0,1368,2018,176100,Total
176200,996,123,9,6,0,18,0,6,1566,2018,176200,Total
176400,549,87,18,15,0,12,0,0,900,2018,176400,Total
176500,516,108,15,9,0,12,0,0,879,2018,176500,Total
176600,516,93,0,12,0,0,0,0,873,2018,176600,Total
176700,498,75,0,0,0,0,0,0,726,2018,176700,Total
176800,528,45,36,12,0,0,0,0,798,2018,176800,Total
176900,558,99,0,0,0,9,0,0,948,2018,176900,Total
177000,729,168,21,0,0,0,0,0,1158,2018,177000,Total
177100,807,108,27,9,0,0,0,0,1236,2018,177100,Total
177200,804,84,9,27,0,6,0,0,1182,2018,177200,Total
177300,330,24,9,9,0,0,0,0,570,2018,177300,Total
177400,495,87,0,0,0,0,0,0,783,2018,177400,Total
177500,324,36,0,6,0,0,0,0,546,2018,177500,Total
177600,489,99,6,6,0,6,0,0,798,2018,177600,Total
177700,651,129,15,9,0,15,0,0,1230,2018,177700,Total
177800,453,54,0,0,0,6,0,0,741,2018,177800,Total
177900,1032,159,24,12,0,15,0,0,1563,2018,177900,Total
178000,780,126,30,12,0,21,0,0,1287,2018,178000,Total
178100,981,174,24,18,0,18,0,0,1506,2018,178100,Total
178200,690,54,30,9,0,18,0,0,1104,2018,178200,Total
178300,519,57,6,21,0,12,0,0,1008,2018,178300,Total
178400,300,21,15,9,0,0,0,0,480,2018,178400,Total
178500,720,69,6,0,0,0,0,0,1056,2018,178500,Total
178600,168,0,12,0,0,0,0,0,261,2018,178600,Total
178700,462,27,0,9,0,6,0,0,687,2018,178700,Total
178800,654,60,36,12,0,15,0,0,1062,2018,178800,Total
178900,90,12,0,0,0,0,0,0,204,2018,178900,Total
179100,417,18,24,0,0,0,0,0,672,2018,179100,Total
179200,123,0,0,0,0,0,0,0,252,2018,179200,Total
179300,549,51,6,6,0,18,0,0,1074,2018,179300,Total
179400,78,0,0,0,0,0,0,0,267,2018,179400,Total
179500,603,66,18,6,0,33,0,0,1293,2018,179500,Total
179600,681,90,15,6,0,12,0,0,1161,2018,179600,Total
179700,615,21,9,0,0,9,0,0,1071,2018,179700,Total
179800,222,24,6,0,0,0,0,0,537,2018,179800,Total
179900,642,6,12,51,0,0,0,0,1029,2018,179900,Total
180000,318,18,9,12,0,6,0,0,564,2018,180000,Total
180100,492,39,21,15,0,0,0,6,897,2018,180100,Total
180200,771,78,9,15,0,39,0,6,1350,2018,180200,Total
180300,411,33,18,6,0,9,0,0,657,2018,180300,Total
180400,378,39,0,6,0,0,0,0,561,2018,180400,Total
180500,360,24,6,6,0,6,0,6,603,2018,180500,Total
180600,483,45,9,12,0,21,0,0,843,2018,180600,Total
180700,570,45,0,24,0,9,0,0,981,2018,180700,Total
180800,366,18,6,15,0,0,0,0,588,2018,180800,Total
180900,378,48,0,9,0,18,0,0,657,2018,180900,Total
181000,513,60,21,15,0,9,0,0,828,2018,181000,Total
181100,639,66,21,9,0,12,0,0,969,2018,181100,Total
181200,510,63,0,15,0,6,0,0,900,2018,181200,Total
181400,177,36,0,0,0,0,0,21,465,2018,181400,Total
181500,216,66,0,0,0,0,0,6,564,2018,181500,Total
181600,201,24,0,0,0,0,0,12,450,2018,181600,Total
181700,168,33,0,0,0,0,0,21,438,2018,181700,Total
181800,246,45,0,0,0,0,0,6,516,2018,181800,Total
181900,177,30,0,0,0,0,0,0,360,2018,181900,Total
182000,84,12,0,0,0,0,0,0,243,2018,182000,Total
182100,204,36,0,0,0,0,0,15,543,2018,182100,Total
182200,135,42,0,0,0,0,0,12,411,2018,182200,Total
182300,111,6,0,0,0,0,0,0,261,2018,182300,Total
182500,387,81,0,0,0,0,0,18,903,2018,182500,Total
182600,357,51,6,0,0,0,0,0,603,2018,182600,Total
182700,420,54,9,0,0,0,0,0,750,2018,182700,Total
182800,513,72,9,0,0,0,0,0,894,2018,182800,Total
182900,204,21,9,0,0,0,0,0,369,2018,182900,Total
183000,192,39,9,0,0,0,0,0,399,2018,183000,Total
183100,66,9,0,0,0,0,0,9,339,2018,183100,Total
183200,66,6,0,0,0,0,0,0,186,2018,183200,Total
183300,180,18,0,0,0,0,0,0,354,2018,183300,Total
183400,237,30,6,0,0,0,0,0,387,2018,183400,Total
183500,219,36,6,0,0,0,0,0,402,2018,183500,Total
183600,279,45,0,0,0,0,0,0,501,2018,183600,Total
183700,315,36,6,0,0,0,0,0,531,2018,183700,Total
183800,498,51,9,0,0,0,0,0,726,2018,183800,Total
183900,342,69,0,0,0,0,0,0,636,2018,183900,Total
184000,285,51,9,0,0,0,0,0,546,2018,184000,Total
184200,441,63,6,0,0,0,0,0,738,2018,184200,Total
184300,213,30,0,0,0,0,0,0,417,2018,184300,Total
184400,267,24,6,0,0,0,0,0,450,2018,184400,Total
184500,42,9,0,0,0,0,0,0,123,2018,184500,Total
184600,198,24,0,0,0,0,0,30,660,2018,184600,Total
184800,414,45,6,0,0,0,0,0,642,2018,184800,Total
184900,57,15,0,0,0,0,0,12,276,2018,184900,Total
185000,42,6,0,0,0,0,0,36,324,2018,185000,Total
185200,36,9,0,0,0,0,0,0,201,2018,185200,Total
185300,171,42,0,0,0,0,0,18,564,2018,185300,Total
185400,105,33,0,0,0,0,0,21,384,2018,185400,Total
185500,591,72,24,0,0,6,0,9,942,2018,185500,Total
185600,177,42,9,0,0,0,0,39,735,2018,185600,Total
185700,75,18,0,0,0,0,0,48,522,2018,185700,Total
185800,279,48,0,0,0,0,0,36,843,2018,185800,Total
185900,273,63,6,0,0,0,0,69,954,2018,185900,Total
186000,666,111,42,0,0,0,0,0,1083,2018,186000,Total
186100,156,33,0,0,0,0,0,69,627,2018,186100,Total
186200,336,54,9,0,0,0,0,0,507,2018,186200,Total
186300,129,24,0,0,0,0,0,0,234,2018,186300,Total
186400,318,18,30,0,0,6,0,0,483,2018,186400,Total
186500,258,30,30,0,0,0,0,6,432,2018,186500,Total
186600,312,33,18,0,0,6,0,0,495,2018,186600,Total
186700,132,12,0,0,0,0,0,0,228,2018,186700,Total
186800,495,54,27,0,0,15,0,0,741,2018,186800,Total
187000,123,9,12,0,0,0,0,9,426,2018,187000,Total
187100,201,36,0,0,0,0,0,18,507,2018,187100,Total
187200,180,42,9,0,0,0,0,27,552,2018,187200,Total
187300,453,66,42,0,0,9,0,9,789,2018,187300,Total
187400,390,42,48,0,0,6,0,0,609,2018,187400,Total
187500,174,36,6,0,0,0,0,24,549,2018,187500,Total
187700,219,48,9,0,0,0,0,96,819,2018,187700,Total
187800,303,66,0,0,0,0,0,54,762,2018,187800,Total
187900,177,45,6,0,0,0,0,9,471,2018,187900,Total
188000,405,96,9,0,0,0,0,0,828,2018,188000,Total
188200,201,39,0,0,0,0,0,6,420,2018,188200,Total
188300,357,102,0,0,0,0,0,0,690,2018,188300,Total
188400,420,72,12,0,0,0,0,0,732,2018,188400,Total
188500,510,90,27,0,0,12,0,0,879,2018,188500,Total
188700,339,57,21,0,0,0,0,0,642,2018,188700,Total
188800,447,48,30,0,0,0,0,0,840,2018,188800,Total
188900,594,111,30,0,0,0,0,9,1026,2018,188900,Total
189000,504,84,18,0,0,15,0,0,939,2018,189000,Total
189100,576,93,18,0,0,6,0,6,1002,2018,189100,Total
189200,504,102,6,0,0,0,0,0,873,2018,189200,Total
189300,570,102,18,0,0,9,0,0,912,2018,189300,Total
189400,144,36,6,0,0,0,0,0,282,2018,189400,Total
189600,120,24,0,0,0,0,0,0,228,2018,189600,Total
189700,519,72,36,0,0,21,0,0,948,2018,189700,Total
190200,375,66,9,0,0,6,0,0,744,2018,190200,Total
190300,276,51,6,0,0,0,0,0,675,2018,190300,Total
190400,105,0,0,0,0,0,0,0,219,2018,190400,Total
190500,528,84,21,0,0,0,0,6,1275,2018,190500,Total
190600,732,87,54,0,0,15,0,0,1275,2018,190600,Total
190900,480,90,0,0,0,0,0,0,1134,2018,190900,Total
191000,399,78,0,0,0,0,0,0,786,2018,191000,Total
