super_area,lat,lon
1,-36.9080779,174.7555067
1,-36.9226323,174.7834399
1,-36.8940297,174.619445
1,-37.053789,174.9642551
1,-37.142744,175.5439118
1,-36.7981904,174.6492254
1,-36.8763662,174.8283777
1,-35.5979436,174.2862748
1,-36.9133452,174.8400088
1,-36.9129724,174.8710051
1,-37.0221777,174.8961612
1,-37.021981,174.8947215
1,-37.0218459,174.8731603
1,-37.0253,174.8931414
1,-37.0285449,174.8714754
1,-36.866698,174.6379397
1,-37.1386414,175.5389425
1,-35.5656535,174.503586
1,-36.9095421,174.6636616
1,-36.7924616,174.6874276
1,-36.7921143,174.6873281
1,-36.7991249,174.691051
1,-35.5139274,174.4545123
1,-36.7569115,174.5920336
1,-36.8218856,174.4400318
1,-36.8697638,174.7102258
1,-36.301533,175.4883724
1,-36.3109631,175.4937316
1,-37.7343116,176.1637515
1,-36.9534734,174.472999
1,-36.8183683,174.6290996
1,-36.6362752,174.7461255
1,-37.2436495,174.742219
1,-36.7756734,174.6698925
1,-36.3988432,174.6647882
1,-36.9248299,174.7016225
1,-36.694917,174.7506977
1,-37.0471673,174.9100336
1,-36.9706896,174.8606725
1,-36.8401876,175.8025533
1,-36.7338109,175.6626711
1,-37.0235338,175.8600562
1,-37.9641126,177.0357075
1,-36.8831135,174.6152587
1,-37.3862288,174.7317562
1,-36.8840076,174.6573804
1,-37.2800939,175.9003319
1,-37.7165582,176.1791111
1,-36.7096175,174.7290976
1,-36.7096987,174.7282883
1,-36.9404519,174.6378809
1,-37.2764042,175.4962032
1,-38.4573462,176.7051832
1,-38.0810787,176.211841
1,-38.1290551,176.2195882
1,-38.1476409,176.2249075
1,-36.8481321,174.764883
1,-36.8836623,174.7342688
1,-39.0614992,174.2101965
1,-37.2540565,175.2362008
1,-37.4294275,175.9585333
1,-37.5540719,175.9174816
1,-36.1638375,175.3621419
1,-37.6705565,175.3064556
1,-37.7432748,175.1526416
1,-38.5199225,175.364972
1,-38.3707922,175.7739916
1,-38.618758,175.7280163
1,-38.9087688,175.7512733
1,-39.426598,175.2774531
1,-38.9351671,175.3851115
1,-36.8586942,174.7303331
1,-37.1376598,174.7522382
1,-36.8486588,174.7647089
1,-37.2381683,175.3857498
1,-37.1385214,175.541839
1,-37.8887244,176.7594336
1,-37.9754187,176.8268136
1,-37.9761522,176.8279699
1,-38.0112722,177.2869098
1,-38.0049492,177.2847337
1,-37.7840543,176.3254419
1,-35.2626664,174.1226307
1,-36.8551514,174.7655643
1,-36.8504942,174.760365
1,-36.8523651,174.7509251
1,-36.8585339,174.7544735
1,-36.8464384,174.7657929
1,-38.8831381,175.2637904
1,-36.9233387,174.6617668
1,-36.8783748,174.8556998
1,-37.7501181,175.278755
