super_area,lat,lon
1,-37.7377581,175.2539306
1,-37.7815562,175.2785726
1,-37.7318291,175.2724411
1,-37.7508012,175.2773692
1,-36.855688,174.7312413
1,-36.4198034,174.723442
1,-36.8479319,174.7738382
1,-37.7816009,175.2780585
1,-37.748518,175.2493047
1,-37.7922914,175.2939981
1,-37.7908913,175.2921488
1,-37.7928895,175.281446
1,-37.7888238,175.2832114
1,-37.0179303,174.8639301
1,-36.9281722,174.9121423
1,-37.7801271,175.2494597
1,-37.6983484,176.2822698
1,-38.147717,176.2775896
1,-36.9063424,174.6608285
1,-37.7851345,175.2764836
1,-36.6135444,174.6805987
1,-37.7484143,175.2301841
1,-38.121505,176.2299477
1,-37.893053,175.4690353
1,-37.8174695,175.2831497
1,-37.792244,175.2783638
1,-39.0573026,174.0698924
1,-39.0559525,174.0617057
1,-36.8755877,174.7368667
1,-36.9620891,174.9018207
1,-36.9621246,174.9002159
1,-36.8622091,174.756215
1,-36.723494,174.7048311
1,-36.8487375,174.7650887
1,-38.1380515,176.251126
1,-36.8661547,174.6296253
1,-36.7948642,174.7650536
1,-36.8216207,174.6128531
1,-36.8978608,174.8086824
1,-36.8821207,174.7854059
1,-36.8746775,174.7368928
1,-36.9006085,174.7210616
1,-36.9082928,174.733558
1,-37.7953059,175.2603547
1,-37.7988384,175.257707
1,-37.8047348,175.2594303
1,-36.9410016,174.83989
1,-36.8929914,174.7966419
1,-36.896296,174.8023146
1,-36.910543,174.7755361
1,-35.7238966,174.3201885
1,-35.7244944,174.3241684
1,-37.0071936,174.8907452
1,-35.7271043,174.3193013
1,-36.7157537,174.7459164
1,-36.7173971,174.746537
1,-36.7165925,174.7457438
1,-36.8856771,174.7312845
1,-37.756472,175.245401
1,-37.7609267,175.2520213
1,-36.8630685,174.6476385
1,-36.9008682,174.904975
1,-36.898933,174.9044131
1,-36.8998794,174.9039444
1,-36.8916678,174.836397
1,-36.8871112,174.8445418
1,-36.9096805,174.6508398
