super_area,lat,lon
1,-36.8771844,174.7507928
1,-36.8638779,174.7607283
1,-36.8495882,174.7606794
1,-36.8426413,174.7637901
1,-36.8722313,174.7772958
1,-36.8496065,174.7644305
1,-36.7810195,174.7216554
1,-36.843384,174.7634151
1,-36.8474087,174.7600105
1,-36.7881891,175.0829585
1,-36.8824375,174.7623112
1,-39.4180186,175.3986534
1,-36.8482271,174.7629931
1,-36.850592,174.7641355
1,-36.8474709,174.766505
1,-36.847222,174.7647417
1,-36.8467268,174.7640524
1,-36.8472779,174.7649022
1,-36.8470596,174.7665237
1,-36.8470041,174.7663116
1,-36.8470321,174.7663976
1,-36.8421398,174.7635478
1,-36.8425774,174.7635087
1,-36.8455533,174.7689513
1,-36.846374,174.761989
1,-36.8467097,174.7669573
1,-36.8758909,174.7512127
1,-38.4204295,175.7980854
1,-37.7997477,174.8699869
1,-37.1400137,175.5429486
1,-37.1418931,175.5438806
1,-36.8588128,174.7313342
1,-36.897238,174.8086291
1,-37.2757744,175.495403
1,-36.8480645,174.7466358
1,-36.7846155,174.7728609
1,-36.8490336,174.7570711
1,-36.8624665,174.6299095
1,-38.6894646,176.06931
1,-36.8432124,174.7633032
1,-36.8423001,174.7650376
1,-36.8422528,174.7646085
1,-36.8421283,174.7647587
1,-36.8457903,174.7667132
1,-36.8789214,174.6317823
1,-37.2535515,175.2379845
1,-36.9453208,174.9641117
1,-36.3014144,175.4885035
1,-36.7221542,174.6920112
1,-36.8506081,174.7823937
1,-36.8872432,174.6441895
1,-37.1360122,175.5410083
1,-37.1376921,175.5433159
1,-36.8722542,174.7443951
1,-36.5875352,174.6948826
1,-37.0484727,174.9258043
1,-37.3921439,175.8389819
1,-37.4033375,175.1436077
1,-37.4318369,175.1346646
1,-36.3520361,174.7170221
1,-37.282524,175.902419
1,-36.8951409,174.9329378
1,-38.0621635,174.8228698
1,-38.059949,174.815551
1,-38.06591,174.8221732
1,-36.8710811,174.7100966
1,-38.8841887,175.259732
1,-38.6884241,176.0696852
1,-39.1448251,174.7358722
1,-36.7151685,174.747161
1,-37.7759641,175.3099699
1,-37.5452724,175.7141191
1,-39.0663419,174.1027622
1,-38.1382111,176.2059503
1,-37.613938,175.189986
1,-36.8333155,175.7043259
1,-37.1342308,175.5396766
1,-36.9236196,175.691282
1,-36.6208985,174.677406
1,-36.8319262,174.7966726
1,-36.8583626,174.7550853
1,-36.7838286,174.7223991
1,-35.2614314,174.1224079
1,-36.8980857,174.9052356
1,-36.6777834,174.4500289
