area,socioeconomic_centile,super_area
132800,3.0,2
132900,7.0,2
133000,2.0,2
133100,8.0,2
133200,7.0,2
133300,7.0,2
133400,9.0,2
133500,3.0,2
133600,4.0,2
133700,6.0,2
133800,8.0,2
133900,8.0,2
134000,1.0,2
134100,8.0,2
134200,4.0,2
134300,4.0,2
134400,5.0,2
134500,6.0,2
134600,1.0,2
134700,3.0,2
134900,8.0,2
135000,7.0,2
135100,9.0,2
135200,3.0,2
135300,9.0,2
135400,3.0,2
135500,9.0,2
135600,8.0,2
135700,7.0,2
135800,7.0,2
135900,8.0,2
136000,4.0,2
136100,5.0,2
136200,3.0,2
136300,4.0,2
136400,4.0,2
136500,7.0,2
136600,7.0,2
136700,1.0,2
136800,7.0,2
136900,4.0,2
137000,7.0,2
137100,9.0,2
137200,6.0,2
137300,5.0,2
137400,2.0,2
137500,2.0,2
137600,5.0,2
137700,8.0,2
137800,5.0,2
137900,10.0,2
138000,3.0,2
138100,4.0,2
138200,7.0,2
138300,7.0,2
138400,3.0,2
138500,5.0,2
138600,5.0,2
138700,5.0,2
138900,5.0,2
139000,3.0,2
139100,10.0,2
139200,3.0,2
139300,2.0,2
139400,2.0,2
139500,5.0,2
139600,6.0,2
139700,7.0,2
139800,6.0,2
139900,3.0,2
140000,1.0,2
140100,8.0,2
140200,5.0,2
140300,6.0,2
140400,8.0,2
140500,1.0,2
140600,10.0,2
140700,10.0,2
140800,4.0,2
140900,4.0,2
141000,3.0,2
141100,2.0,2
141200,3.0,2
141300,5.0,2
141500,3.0,2
141600,1.0,2
141700,2.0,2
141800,1.0,2
141900,3.0,2
142000,6.0,2
142100,5.0,2
142200,4.0,2
142300,10.0,2
142400,1.0,2
142500,3.0,2
142600,4.0,2
142700,1.0,2
142800,5.0,2
142900,5.0,2
143000,1.0,2
143100,3.0,2
143200,2.0,2
143300,4.0,2
143400,6.0,2
143500,2.0,2
143600,2.0,2
143700,2.0,2
143800,5.0,2
143900,3.0,2
144000,1.0,2
144100,4.0,2
144300,6.0,2
144400,3.0,2
144500,6.0,2
144600,4.0,2
144700,10.0,2
144800,3.0,2
144900,1.0,2
145000,8.0,2
145100,4.0,2
145200,10.0,2
145300,5.0,2
145400,8.0,2
145500,8.0,2
145600,8.0,2
145700,1.0,2
145800,10.0,2
145900,8.0,2
146000,5.0,2
146100,5.0,2
146200,7.0,2
146300,10.0,2
146400,3.0,2
146500,8.0,2
146600,6.0,2
146700,8.0,2
146800,7.0,2
146900,5.0,2
147000,10.0,2
147100,8.0,2
147200,7.0,2
147500,8.0,2
147600,5.0,2
147800,2.0,2
148000,3.0,2
148100,3.0,2
148200,10.0,2
148300,4.0,2
148400,2.0,2
148500,10.0,2
148600,10.0,2
148700,5.0,2
148800,4.0,2
148900,10.0,2
149000,7.0,2
149100,8.0,2
149200,5.0,2
149300,6.0,2
149400,9.0,2
149500,10.0,2
149700,5.0,2
149800,6.0,2
149900,6.0,2
150000,10.0,2
150100,10.0,2
150200,10.0,2
150300,10.0,2
150400,4.0,2
150500,6.0,2
150600,2.0,2
150700,6.0,2
150800,10.0,2
150900,10.0,2
151000,10.0,2
151100,5.0,2
151200,10.0,2
151300,5.0,2
151400,10.0,2
151500,6.0,2
151600,10.0,2
151700,5.0,2
151800,10.0,2
151900,10.0,2
152000,4.0,2
152100,9.0,2
152200,3.0,2
152400,4.0,2
152500,4.0,2
152600,10.0,2
152800,9.0,2
152900,3.0,2
153000,10.0,2
153100,3.0,2
153200,10.0,2
153300,8.0,2
153400,1.0,2
153500,10.0,2
153600,9.0,2
153700,3.0,2
153800,2.0,2
153900,2.0,2
154000,8.0,2
154100,7.0,2
154200,9.0,2
154300,1.0,2
154400,10.0,2
154500,5.0,2
154700,2.0,2
154800,9.0,2
154900,8.0,2
155000,2.0,2
155100,10.0,2
155200,4.0,2
155300,2.0,2
155400,4.0,2
155500,9.0,2
155600,9.0,2
155700,10.0,2
155800,10.0,2
155900,9.0,2
156100,3.0,2
156200,8.0,2
156300,2.0,2
156400,1.0,2
156500,7.0,2
156600,2.0,2
156700,9.0,2
156800,10.0,2
156900,3.0,2
157000,9.0,2
157100,1.0,2
157200,10.0,2
157300,2.0,2
157400,1.0,2
157500,9.0,2
157600,10.0,2
157700,10.0,2
157800,3.0,2
157900,9.0,2
158000,7.0,2
158100,2.0,2
158200,2.0,2
158300,6.0,2
158400,10.0,2
158500,6.0,2
158600,5.0,2
158700,10.0,2
158800,10.0,2
158900,1.0,2
159000,5.0,2
159100,9.0,2
159200,10.0,2
159300,2.0,2
159400,3.0,2
159500,10.0,2
159600,6.0,2
159700,10.0,2
159800,2.0,2
159900,10.0,2
160000,10.0,2
160100,9.0,2
160200,9.0,2
160300,7.0,2
160400,5.0,2
160500,10.0,2
160600,10.0,2
160700,9.0,2
160800,10.0,2
160900,10.0,2
161000,8.0,2
161100,3.0,2
161200,10.0,2
161300,10.0,2
161400,3.0,2
161500,4.0,2
161600,10.0,2
161800,1.0,2
161900,10.0,2
162000,10.0,2
162100,4.0,2
162200,4.0,2
162300,5.0,2
162400,4.0,2
162500,1.0,2
162600,8.0,2
162700,5.0,2
162800,8.0,2
162900,1.0,2
163000,9.0,2
163100,4.0,2
163200,9.0,2
163300,9.0,2
163400,1.0,2
163500,10.0,2
163600,10.0,2
163700,9.0,2
163900,9.0,2
164000,6.0,2
164200,10.0,2
164300,6.0,2
164400,6.0,2
164500,8.0,2
164600,3.0,2
164700,6.0,2
164800,7.0,2
164900,1.0,2
165000,5.0,2
165100,3.0,2
165200,1.0,2
165300,9.0,2
165400,1.0,2
165500,9.0,2
165600,2.0,2
165700,6.0,2
165800,5.0,2
165900,4.0,2
166100,5.0,2
166200,4.0,2
166300,2.0,2
166400,1.0,2
166500,9.0,3
166700,8.0,3
166900,5.0,3
167000,4.0,3
167100,7.0,3
167200,7.0,3
167300,2.0,3
167400,4.0,3
167500,4.0,3
167600,8.0,3
167700,10.0,3
167800,9.0,3
168000,3.0,3
168100,5.0,3
168200,2.0,3
168300,6.0,3
168400,6.0,3
168500,6.0,3
168600,7.0,3
168700,7.0,3
168800,6.0,3
168900,6.0,3
169000,9.0,3
169100,7.0,3
169200,9.0,3
169300,6.0,3
169400,9.0,3
169500,9.0,3
169600,9.0,3
169700,3.0,3
169800,5.0,3
169900,3.0,3
170000,7.0,3
170100,5.0,3
170200,3.0,3
170300,9.0,3
170400,10.0,3
170500,2.0,3
170600,4.0,3
170700,9.0,3
170900,6.0,3
171100,7.0,3
171200,7.0,3
171300,6.0,3
171400,10.0,3
171500,10.0,3
171600,7.0,3
171700,5.0,3
171900,7.0,3
172000,10.0,3
172100,10.0,3
172200,8.0,3
172300,4.0,3
172400,2.0,3
172500,2.0,3
172600,5.0,3
172700,1.0,3
172800,3.0,3
172900,1.0,3
173000,3.0,3
173100,2.0,3
173200,1.0,3
173300,4.0,3
173400,1.0,3
173500,6.0,3
173600,7.0,3
173700,5.0,3
173800,6.0,3
173900,5.0,3
174000,8.0,3
174100,9.0,3
174200,6.0,3
174300,7.0,3
174400,7.0,3
174500,7.0,3
174600,9.0,3
174700,5.0,3
174800,4.0,3
174900,7.0,3
175000,7.0,3
175100,6.0,3
175300,1.0,3
175400,2.0,3
175500,1.0,3
175600,4.0,3
175700,6.0,3
175800,3.0,3
175900,2.0,3
176000,4.0,3
176100,4.0,3
176200,3.0,3
176400,9.0,3
176500,5.0,3
176600,3.0,3
176700,2.0,3
176800,10.0,3
176900,1.0,3
177000,2.0,3
177100,7.0,3
177200,10.0,3
177300,10.0,3
177400,7.0,3
