super_area,area,region
14,352800,South Island
14,352100,South Island
14,351600,South Island
14,354400,South Island
14,352300,South Island
14,354500,South Island
14,354600,South Island
14,354700,South Island
14,355600,South Island
14,354900,South Island
14,355000,South Island
14,355100,South Island
14,353900,South Island
14,355200,South Island
14,355500,South Island
14,354000,South Island
14,352600,South Island
14,349000,South Island
14,349700,South Island
14,349900,South Island
14,349800,South Island
14,350000,South Island
14,350300,South Island
14,352500,South Island
14,350700,South Island
14,350200,South Island
14,350100,South Island
14,349400,South Island
14,356100,South Island
14,356200,South Island
14,356800,South Island
14,356400,South Island
15,360400,South Island
14,356600,South Island
14,356500,South Island
14,356000,South Island
14,356300,South Island
15,359500,South Island
14,355800,South Island
14,345800,South Island
14,355900,South Island
14,345700,South Island
14,345100,South Island
14,345300,South Island
14,345200,South Island
14,345400,South Island
14,345500,South Island
14,345600,South Island
14,347200,South Island
14,347100,South Island
14,344800,South Island
14,345000,South Island
14,346900,South Island
14,346400,South Island
14,344900,South Island
14,348100,South Island
14,348200,South Island
14,347900,South Island
14,346600,South Island
14,346700,South Island
14,346800,South Island
14,348400,South Island
14,347500,South Island
14,347400,South Island
14,347700,South Island
14,348300,South Island
14,346200,South Island
14,347800,South Island
14,348800,South Island
14,348600,South Island
15,357700,South Island
15,358100,South Island
15,358200,South Island
15,358300,South Island
15,360200,South Island
15,359600,South Island
15,359700,South Island
15,359900,South Island
15,358500,South Island
15,358700,South Island
15,358900,South Island
15,360500,South Island
15,360900,South Island
15,358600,South Island
15,359100,South Island
15,359000,South Island
15,360800,South Island
15,362300,South Island
15,360600,South Island
15,360700,South Island
15,361000,South Island
15,362000,South Island
15,362200,South Island
15,361300,South Island
15,361100,South Island
15,361400,South Island
15,361200,South Island
15,361500,South Island
15,361600,South Island
9,248500,North Island
9,249800,North Island
15,361700,South Island
15,361900,South Island
15,362400,South Island
15,362100,South Island
15,362500,South Island
15,362600,South Island
15,362700,South Island
15,362800,South Island
15,362900,South Island
15,363000,South Island
15,363100,South Island
15,363300,South Island
15,359400,South Island
15,357500,South Island
15,357300,South Island
14,346000,South Island
15,358400,South Island
15,358000,South Island
15,357900,South Island
15,358800,South Island
3,175600,North Island
2,158200,North Island
3,175500,North Island
13,332900,South Island
2,158100,North Island
13,334600,South Island
13,334900,South Island
13,316600,South Island
13,336100,South Island
13,314300,South Island
14,347000,South Island
14,348700,South Island
14,348900,South Island
13,337400,South Island
13,339700,South Island
5,205500,North Island
2,121700,North Island
2,113100,North Island
2,113300,North Island
16,302600,South Island
4,190400,North Island
12,310200,South Island
3,182900,North Island
13,333900,South Island
13,336300,South Island
4,195700,North Island
13,322800,South Island
13,322500,South Island
13,324100,South Island
13,323600,South Island
13,324500,South Island
13,313500,South Island
13,316800,South Island
14,349200,South Island
13,326000,South Island
17,304800,South Island
13,335600,South Island
13,316200,South Island
13,318200,South Island
13,313400,South Island
13,315800,South Island
13,335500,South Island
18,306700,South Island
13,322900,South Island
14,348000,South Island
13,332200,South Island
2,145700,North Island
15,357600,South Island
2,117300,North Island
2,158600,North Island
13,325200,South Island
13,331800,South Island
14,347300,South Island
17,306100,South Island
16,303000,South Island
13,334300,South Island
13,322000,South Island
8,227700,North Island
