area,latitude,longitude
137200,-36.91452187,174.69660926
137300,-36.92628317,174.68526542
137400,-36.85621249,174.78751844
137500,-36.96456984,174.63077158
137600,-36.89249272,174.73078769
137700,-36.86913097,174.76555025
137800,-36.8748348,174.76097949
137900,-36.89875702,174.72646197
138000,-36.93348489,174.67733798
138100,-36.88723106,174.7449694
138200,-36.89314875,174.73825366
138300,-36.90852211,174.71637156
138400,-36.88382084,174.75357383
138500,-36.86853889,174.77706299
138600,-36.91483741,174.70821128
138700,-36.87695838,174.77070996
138900,-36.92531189,174.6983916
139000,-36.88500226,174.760481
139100,-36.90326571,174.73405291
139200,-36.85708312,174.81525702
139300,-36.89091675,174.75425547
139400,-36.87008743,174.78592756
139500,-36.92106193,174.70934256
139600,-36.91952771,174.71763043
139700,-36.90053933,174.7442134
139800,-36.91484469,174.72598544
139900,-36.89582511,174.75448765
140000,-36.87147136,174.79423523
140100,-36.85366237,174.82327361
140200,-36.88779009,174.76992615
140300,-36.88236812,174.78035947
140400,-36.908804,174.74301108
140500,-36.8684808,174.8040065
140600,-36.90307735,174.75232867
140700,-36.91583944,174.73830929
140800,-36.89675875,174.76787408
140900,-36.93014096,174.72013007
141000,-36.88443518,174.79526521
141100,-36.855756,174.83237219
141200,-36.90429123,174.75840181
141300,-36.92449342,174.73008619
141500,-36.89528995,174.7782585
141600,-36.87744319,174.80437822
141700,-36.90439621,174.7662217
141800,-36.85773003,174.84092129
141900,-36.86956185,174.8257466
142000,-36.91359172,174.75815493
142100,-36.91988593,174.74732339
142200,-36.89157675,174.7929571
142300,-36.92587047,174.73998756
142400,-36.8760597,174.82144132
142500,-36.92997876,174.74691198
142600,-36.91008886,174.76931709
142700,-36.85712066,174.85071062
142800,-36.90124562,174.78219928
142900,-36.91987919,174.75650998
143000,-36.85233733,174.86193821
143100,-36.88487835,174.81311405
143200,-36.86978506,174.83700703
143300,-36.89200686,174.80750671
143400,-36.91176082,174.77658657
143500,-36.86395106,174.85633024
143600,-36.92611941,174.75558659
143700,-36.88206283,174.83365741
143800,-36.90084121,174.79880394
143900,-36.88285416,174.82744827
144000,-36.85540475,174.87371093
144100,-36.91965553,174.77421645
144300,-36.91226992,174.78673711
144400,-36.89230912,174.8210526
144500,-36.87546729,174.84608811
144600,-36.78767524,174.99965402
144700,-36.873161,174.85691995
144800,-36.90072215,174.8155531
144900,-36.88678029,174.83723014
145000,-36.91974178,174.78709609
145100,-36.8646606,174.8672379
145200,-36.91207992,174.80030606
145300,-36.89388294,174.82931818
145400,-36.88365468,174.85076184
145500,-36.92606886,174.79489131
145600,-36.91863866,174.79648981
145700,-36.88886515,174.84258802
145800,-36.87360239,174.87120197
145900,-36.91999811,174.82258914
146000,-36.89400476,174.84294936
146100,-36.94780505,174.76875626
146200,-36.90212113,174.83177929
146300,-36.88386826,174.86532955
146400,-36.86068628,174.9037907
146500,-36.90148701,174.83884542
146600,-36.91116791,174.82771093
146700,-36.89965538,174.84474639
146800,-36.94356976,174.78854005
146900,-36.77927556,175.05218612
147000,-36.89521581,174.86187464
147100,-36.9022851,174.86035751
147200,-36.90833619,174.84460805
147500,-36.95251573,174.7858599
147600,-36.79613493,175.02985004
147800,-36.88602382,174.89665015
148000,-36.87674433,174.91349074
148100,-36.9085095,174.87269402
148200,-36.94920111,174.80895608
148300,-36.88001336,174.9076561
148400,-36.89546599,174.88380665
148500,-36.95922768,174.7950367
148600,-36.95592834,174.80011155
148700,-36.79263832,175.05220466
148800,-36.88645568,174.90494659
148900,-36.96564384,174.79001448
149000,-36.91819021,174.86882676
149100,-36.93113094,174.8459642
149200,-36.90137998,174.89140685
149300,-36.89466587,174.90252487
149400,-36.95588747,174.81087863
149500,-36.92699118,174.85544369
149700,-36.88980813,174.91318756
149800,-36.91470511,174.87781101
149900,-37.14989636,174.63216856
150000,-36.96170937,174.8102543
150100,-36.94175556,174.83604598
150200,-36.97101355,174.79882139
150300,-36.93828521,174.84722011
150400,-36.89320364,174.91979511
150500,-36.91160179,174.88861633
150600,-36.88715946,174.93040248
150700,-36.90862754,174.89903753
150800,-36.95872645,174.82205607
150900,-36.93272301,174.8626682
151000,-36.97875887,174.79514489
151100,-36.79584373,175.07839806
151200,-36.96750095,174.81463304
151300,-36.90473104,174.90937089
151400,-36.95216719,174.84005503
151500,-36.9198535,174.88678719
151600,-36.97328531,174.80945421
151700,-36.79798055,175.12796937
151800,-36.96532836,174.82444816
151900,-36.94719396,174.84996655
152000,-36.89922262,174.92368474
152100,-36.96400152,174.83260412
152200,-36.90954846,174.91414564
152400,-36.90088621,174.930388
152500,-36.92248095,174.89743987
152600,-36.97185419,174.8222655
152800,-36.98695925,174.82743938
152900,-36.91003877,174.92177547
153000,-36.96377055,174.84941695
153100,-36.92144309,174.90781082
153200,-36.97359119,174.82668701
153300,-36.96930074,174.8391719
153400,-36.89765568,174.94328238
153500,-36.95591017,174.86534764
153600,-36.97679381,174.83033475
153700,-36.91724964,174.92247912
153800,-36.91234246,174.93394109
153900,-36.9227022,174.91641035
154000,-36.97093119,174.8493612
154100,-36.96337293,174.86069682
154200,-36.98140868,174.83755849
154300,-36.90830816,174.94645122
154400,-36.95593456,174.87677994
154500,-36.93387117,174.90699061
