,area,max_students,sector,latitude,longitude,age_min,age_max
242,112400,820,secondary,-36.67880107411145,174.459491073502,14,19
243,116500,1366,secondary,-36.69019488938951,174.73957420313184,14,19
244,119700,2972,secondary,-36.738409523557614,174.735555639749,14,19
245,125700,944,secondary,-36.86566727425989,174.62352137495895,11,19
246,126600,1066,secondary,-36.79275271920976,174.75993637338559,11,19
247,323100,370,primary,-43.50067605748984,172.6401990964263,5,13
248,148000,2422,secondary,-36.88265621454128,174.91559662780264,14,19
249,138000,1407,secondary,-36.93098540809876,174.6703794533817,14,19
250,125700,1287,secondary,-36.86701621417174,174.6184766417851,14,19
251,126700,919,secondary,-36.882871506824614,174.62661062521983,14,19
252,104400,116,primary,-35.37383639165732,174.1521864113992,5,13
253,125700,838,secondary,-36.86929413724203,174.62284024153405,11,19
254,129900,1554,secondary,-36.86219298995878,174.71634887001136,14,19
255,141800,1208,secondary,-36.862860901071556,174.83777706712857,14,19
256,131200,429,secondary,-36.85280560108576,174.73750835242845,11,19
257,158100,147,secondary,-36.97361785586291,174.9219643016317,5,19
258,134300,882,secondary,-36.85659515814876,174.753699107064,14,19
259,137700,3141,secondary,-36.870348558857344,174.76689670789062,14,19
260,145800,549,secondary,-36.876520300841406,174.8682149412897,14,19
261,134200,315,primary,-36.881220279385,174.72567065124346,5,11
262,145100,1291,secondary,-36.86680161690233,174.87205313643463,11,19
263,141600,204,primary,-36.880653481926736,174.80547003906716,5,13
264,140500,1441,secondary,-36.86550901759405,174.80140122878134,11,19
265,142600,542,secondary,-36.91189048732145,174.76619439163767,11,19
266,138700,1968,secondary,-36.87690551751226,174.77494652756465,14,19
267,175000,684,secondary,-37.81709186259057,175.76826956904532,14,19
268,145100,1123,secondary,-36.86159475482694,174.8670585698558,14,19
269,140300,570,secondary,-36.881135998680676,174.78407538466206,5,19
270,140300,1564,secondary,-36.87993212510381,174.7787333966294,5,19
271,140300,1450,secondary,-36.88772448806499,174.7801025410123,5,19
272,134200,2953,secondary,-36.88462677525556,174.72733367757186,14,19
273,117400,1738,secondary,-36.7418694324404,174.68942862626596,5,19
274,123100,414,secondary,-36.78090494199528,174.7139717049357,14,19
275,122800,470,secondary,-36.80019763860632,174.6987416935321,14,19
276,127300,1059,secondary,-36.808699690230185,174.73491873982496,14,19
277,125500,962,secondary,-36.779325504044905,174.7580750394356,11,19
278,129300,1662,secondary,-36.80097469699432,174.78942934873422,14,19
279,120600,1392,secondary,-36.84304439498509,174.6000598631337,14,19
280,134200,894,secondary,-36.88182744533155,174.7254753273995,11,19
281,170100,561,secondary,-37.33141111086025,174.91559875067796,5,19
282,140400,1836,secondary,-36.91194630279647,174.74603181274645,14,19
283,139600,1657,secondary,-36.91921172802493,174.71643816639082,14,19
284,193500,1902,secondary,-37.705955286753124,176.10798547200926,5,19
285,186000,105,primary,-38.106036983458544,175.81208813984077,5,11
286,132000,2598,secondary,-36.889846574146034,174.6894866183443,14,19
287,190600,811,secondary,-37.55344367689052,175.92219063286208,11,19
288,149000,566,secondary,-36.9236049121417,174.87603378772974,14,19
289,149300,1993,secondary,-36.89695062935782,174.90364326852801,14,19
290,325400,424,secondary,-43.56316161990432,172.57220227336728,5,19
291,194800,1959,secondary,-37.70319019618556,176.15654676853862,14,19
292,130500,601,secondary,-36.898560521215614,174.6660942233907,14,19
293,131000,415,secondary,-36.90717387645332,174.6648959154824,14,19
294,144200,1359,secondary,-36.90362920780103,174.80621256949286,14,19
295,163700,1492,secondary,-37.07641735034575,174.93402868137267,14,19
296,144100,912,secondary,-36.91981245972245,174.76971807682958,14,19
297,153800,1959,secondary,-36.907463608089934,174.9384347181707,14,19
298,151400,874,secondary,-36.95331902464417,174.84082150119463,14,19
299,203600,121,primary,-38.411069320046145,176.74121236682433,5,13
300,151400,990,secondary,-36.956679107515605,174.83852499933462,14,19
301,151900,756,secondary,-36.944220053236656,174.84793028222202,14,19
302,148500,644,secondary,-36.96113595110077,174.79091878442486,14,19
303,147500,261,secondary,-36.95662627624554,174.78547464281127,14,19
304,153300,1158,secondary,-36.96688063097741,174.83690982483867,11,19
305,337300,128,primary,-43.9735410913316,171.82334479466732,5,13
306,155600,1288,secondary,-36.97540207804666,174.87363744511245,14,19
307,154200,1521,secondary,-36.98108410695559,174.83297169412256,14,19
308,154400,525,secondary,-36.95048147655548,174.87564424478384,14,19
309,159100,2018,secondary,-37.010219500536394,174.88195755715188,14,19
310,160600,1272,secondary,-37.03649979115152,174.88603451353856,14,19
311,163600,753,secondary,-37.06397961904513,174.95156917591265,14,19
312,105300,201,primary,-35.64316411802191,174.28906294239331,5,11
313,354200,350,primary,-45.89572035318053,170.4844581974305,5,13
314,166000,1623,secondary,-37.205890624277934,174.90618188197652,14,19
315,165300,355,secondary,-37.14879077922101,174.88920927091684,11,19
316,164400,784,secondary,-37.25022727318204,174.72359157959957,14,19
317,170000,685,secondary,-37.261786877635046,174.9347272483858,11,19
318,168900,746,secondary,-37.27771049962932,175.49674610465675,14,19
319,169200,253,secondary,-37.384786708960426,175.66825538991017,14,19
320,169400,670,secondary,-37.38628815504861,175.82996199675483,11,19
321,171100,444,secondary,-37.39984247606953,175.15034546202548,11,19
322,174200,284,secondary,-37.540461567507265,175.69483477481313,14,19
323,346700,1372,secondary,-44.686776234194085,169.13704583682923,11,19
324,194300,1575,secondary,-37.66140403950264,176.20720684394138,14,19
325,171500,184,secondary,-37.563084073097,175.1531168985574,14,19
326,193100,1749,secondary,-37.678576892267515,176.1304121078412,14,19
327,195300,1230,secondary,-37.71337477483992,176.14618007100427,14,19
328,191900,772,secondary,-37.7878506837038,176.31799607514085,14,19
329,171600,582,secondary,-37.8079445024267,174.866773803528,5,19
330,173900,607,secondary,-37.65106588645677,175.53490423480642,14,19
331,172000,348,secondary,-37.66119288391483,175.1588000829874,14,19
332,301500,206,secondary,-41.393349660091495,172.82510199706715,5,19
333,177700,607,secondary,-37.76207945318558,175.27359761776685,14,19
334,177800,954,secondary,-37.760060935495595,175.28184749182014,14,19
335,179700,2004,secondary,-37.7865372874361,175.29616708109558,14,19
336,179400,1552,secondary,-37.79036512414996,175.27629580214017,14,19
337,243800,360,secondary,-41.19428432209996,174.90564182184346,5,19
338,209100,345,secondary,-39.622323322250956,176.78778870732376,11,19
339,177200,1248,secondary,-37.78341249768412,175.24252129424755,14,19
340,180600,1015,secondary,-37.79080807573524,175.31572588254818,14,19
341,180300,516,secondary,-37.815892590642385,175.28022316236996,14,19
342,180800,1585,secondary,-37.79269270171095,175.32509236405906,14,19
343,179700,722,secondary,-37.79207487117055,175.2949160497405,14,19
344,177700,626,secondary,-37.764587663707225,175.26937968152453,14,19
345,182400,1138,secondary,-37.89093313981438,175.42908709030493,11,19
346,182600,1612,secondary,-37.87763992208235,175.4683605152311,14,19
347,202800,944,secondary,-37.97322978972446,176.97693068857953,14,19
348,202900,1288,secondary,-37.96158998603675,176.98536701455458,14,19
349,202200,171,secondary,-37.96844839442252,176.82627486120663,14,19
350,183600,1174,secondary,-38.00527440654632,175.31619402679453,14,19
351,204400,327,secondary,-38.01328247483668,177.2896966846825,14,19
352,199000,1083,secondary,-38.1203865324878,176.22227152367282,14,19
353,199800,932,secondary,-38.138471551293875,176.23764427986686,14,19
354,200200,544,secondary,-38.14781036784559,176.23670990567123,14,19
355,201400,610,secondary,-38.1354192565372,176.30074661121722,14,19
356,185500,260,secondary,-38.17879986527578,175.2048889296596,14,19
357,186600,501,secondary,-38.227050996506215,175.86245689176485,14,19
358,186200,298,secondary,-38.21868933178473,175.84197440800236,14,19
359,306700,352,secondary,-41.27871901210334,174.02277099170539,11,19
360,187300,264,secondary,-38.33187033268282,175.15631998404717,14,19
361,187500,37,primary,-38.521641184262556,175.36987217973908,5,13
362,187200,129,secondary,-38.47260694988344,175.0136248576009,11,19
363,201800,214,secondary,-38.43757130132404,176.34405838154984,11,19
364,189100,612,secondary,-38.696744709111165,176.10442877602011,14,19
365,188800,972,secondary,-38.68144730971606,176.07830115129298,14,19
366,222500,276,secondary,-38.86352801386233,175.24455848118708,14,19
367,218900,352,secondary,-38.99691068326477,174.24394323067094,14,19
368,217300,1224,secondary,-39.06028699421831,174.0875283047408,14,19
369,217300,1218,secondary,-39.05612566130572,174.0947289518096,14,19
370,216800,1027,secondary,-39.073010904397336,174.03753019772776,14,19
371,210700,956,secondary,-39.6513119027041,176.83579242661457,14,19
372,217300,730,secondary,-39.05289291171581,174.1040189095032,11,19
373,218200,921,secondary,-39.082118560517074,174.0550445245708,11,19
374,222300,9,primary,-38.84424190167372,174.9847245819391,5,13
375,219600,535,secondary,-39.15664677096865,174.1894074329317,14,19
376,220300,627,secondary,-39.339694961942136,174.29791388590183,14,19
377,220100,90,secondary,-39.33199408736324,174.27952824798143,14,19
378,220700,325,secondary,-39.44922809858462,173.85266393954873,14,19
379,221700,877,secondary,-39.58522036880902,174.27427917157647,14,19
380,115700,102,primary,-36.61469963504592,174.7941336774311,5,13
381,223100,177,secondary,-39.41659983762544,175.41370524836077,14,19
382,222200,248,secondary,-39.762622493676965,174.48231196573133,5,19
383,225700,384,secondary,-39.93131600514642,175.04479171145164,14,19
384,225500,333,secondary,-39.91876631817788,175.0560927281931,14,19
385,225000,1659,secondary,-39.9326839421498,175.0326905997279,14,19
386,224100,416,secondary,-39.9128559912455,175.04660119502887,14,19
387,230900,220,secondary,-40.38965375192842,175.55684632383216,11,19
388,226900,210,secondary,-40.06815450200726,175.39721035006028,14,19
389,227900,1423,secondary,-40.21119186078643,175.56245603901905,14,19
390,231200,810,secondary,-40.37346134276875,175.5997054090372,14,19
391,228100,103,secondary,-40.150855138273315,175.65910897651727,14,19
392,230200,1035,secondary,-40.33723026204365,175.6266754764671,14,19
393,203500,216,secondary,-38.147864924753335,177.0081195939479,5,19
394,229600,270,secondary,-40.34524474257413,175.60551857069032,14,19
395,231600,1492,secondary,-40.36752450348846,175.61827333583264,14,19
396,229300,823,secondary,-40.332834967167045,175.60460063066628,11,19
397,234200,355,secondary,-40.46527188062823,175.2787706634692,14,19
398,205700,597,secondary,-38.64272731205383,178.00003026925276,14,19
399,206500,964,secondary,-38.659294583316345,178.01132717641633,14,19
400,206100,711,secondary,-38.65460144354751,178.00897713817162,14,19
401,205700,448,secondary,-38.64819977967713,177.9874938946914,11,19
402,205200,256,secondary,-38.373267681883455,178.30191169826887,5,19
403,207800,450,secondary,-39.03638346214942,177.41365224076165,11,19
404,256700,267,secondary,-40.9628263920279,175.66620448100826,14,19
405,214900,1316,secondary,-39.54228779561514,176.85119515401075,14,19
406,213300,913,secondary,-39.485523713741195,176.914650923828,14,19
407,213800,376,secondary,-39.51752977457363,176.87215063653767,14,19
408,213300,338,secondary,-39.48261735023472,176.91137984674842,14,19
409,214800,554,secondary,-39.50743591636332,176.89466078344054,11,19
410,213700,170,secondary,-39.52761771490933,176.85563954652653,11,19
411,211700,1281,secondary,-39.66626724773233,176.89550665864843,14,19
412,211800,295,secondary,-39.677857355915066,176.87768234891894,11,19
413,148600,98,primary,-36.961151985798935,174.80209785053708,5,13
414,211800,424,secondary,-39.68305953914991,176.87815341553494,11,19
415,210900,459,secondary,-39.638880583487484,176.85700220786327,14,19
416,209400,790,secondary,-39.62603456223513,176.8339557919719,14,19
417,211100,806,secondary,-39.64619413795141,176.86813688302675,14,19
418,209400,594,secondary,-39.62448281318601,176.83594681455136,11,19
419,210500,412,secondary,-39.63637614616035,176.84564151393377,5,19
420,208700,58,secondary,-39.82384465542186,176.62400854341058,14,19
421,216000,470,secondary,-40.001197911263176,176.56388139979043,14,19
422,233200,510,secondary,-40.20035658684017,176.09962482060226,14,19
423,233600,385,secondary,-40.45543769729683,175.83356177161374,14,19
424,235000,622,secondary,-40.621040005441614,175.27780311843625,14,19
425,235900,681,secondary,-40.630781573602135,175.29775860804477,14,19
426,100700,246,secondary,-35.10726631825846,173.25698609768276,5,19
427,252400,1602,secondary,-41.30058505622325,174.77535929018975,14,19
428,236700,475,secondary,-40.76051200409951,175.15243687586587,11,19
429,256000,1375,secondary,-40.95173105072969,175.648211158984,14,19
430,239900,330,secondary,-41.14017750957266,174.83910540885398,11,19
431,255700,210,secondary,-40.95463632531279,175.62933672522135,11,19
432,256400,218,secondary,-40.96061110905282,175.65405812237623,11,19
433,255500,409,secondary,-40.89785097679788,175.68742127073767,14,19
434,256100,370,secondary,-40.94568389177694,175.6517056919727,11,19
435,238000,1711,secondary,-40.9223535571796,174.9832931727059,14,19
436,237500,1646,secondary,-40.88799679689205,175.00562855352865,14,19
437,257700,782,secondary,-41.09267245111589,175.45063273273405,14,19
438,326800,705,secondary,-43.52395061931906,172.6625526648487,11,19
439,241700,1046,secondary,-41.12657844102136,175.0395513870718,14,19
440,242500,860,secondary,-41.12885897670618,175.05378309260618,14,19
441,241400,685,secondary,-41.14324803480782,175.01018277420135,14,19
442,240100,1011,secondary,-41.1249012084863,174.85634277354575,14,19
443,239200,466,secondary,-41.1279252940738,174.83283696949502,14,19
444,241000,585,secondary,-41.14332887304558,174.87364910389087,14,19
445,309100,81,secondary,-41.249559630591946,172.11731862111222,5,19
446,244100,360,secondary,-41.176363404572335,174.96702665323085,14,19
447,245200,678,secondary,-41.19730974144426,174.94073187674658,14,19
448,245500,651,secondary,-41.20968230699646,174.91767407592573,11,19
449,245300,1566,secondary,-41.216948024952465,174.9008209319039,14,19
450,244800,988,secondary,-41.21453046711002,174.90682634220076,14,19
451,244800,364,secondary,-41.21113902474035,174.91360108296317,5,19
452,244200,598,secondary,-41.20450360767779,174.91702703867668,11,19
453,109600,30,secondary,-36.10943623322584,174.35861817699993,5,19
454,184300,78,primary,-38.020651126832966,175.32946302801804,5,13
455,248700,1324,secondary,-41.2167999744214,174.8245143683646,14,19
456,249200,1240,secondary,-41.23093831501607,174.79705444281274,14,19
457,250700,1393,secondary,-41.27469281039052,174.7808758321562,14,19
458,321400,1896,secondary,-43.508050440973925,172.61445911863075,5,19
459,252500,1064,secondary,-41.3032705080215,174.78584764526263,14,19
460,309200,288,secondary,-41.74735752510241,171.6059758851406,14,19
461,310300,513,secondary,-42.46262848363649,171.1978145867278,14,19
462,303200,1446,secondary,-41.33880387430515,173.19794915541377,14,19
463,110200,44,primary,-36.272790721878685,174.40985720147435,5,13
464,252400,2097,secondary,-41.30328790839763,174.78278206223814,14,19
465,253200,658,secondary,-41.31365139060718,174.79686215029477,14,19
466,254200,873,secondary,-41.32262520997215,174.80049683597622,14,19
467,250900,784,secondary,-41.2723806383399,174.78000041501284,5,19
468,250600,528,secondary,-41.284351820039525,174.7445458098635,5,19
469,255100,807,secondary,-41.32712480156746,174.81910175350578,5,19
470,180400,181,primary,-37.82389844787027,175.27103094703733,5,13
471,253700,213,secondary,-41.317736852151945,174.79281974637243,14,19
472,308100,867,secondary,-41.51830733316699,173.95551910693604,14,19
473,307500,846,secondary,-41.50703265021401,173.94319143757104,14,19
474,300200,184,secondary,-40.682419786544266,172.67926040852123,5,19
475,306300,129,secondary,-41.23414913009738,173.5823059450995,5,19
476,300500,350,secondary,-40.847203592745494,172.80870984793484,11,19
477,304400,1213,secondary,-41.30402896816724,173.23016541163216,14,19
478,305200,921,secondary,-41.28669453614579,173.277557844854,14,19
479,110400,42,primary,-36.264864558157534,174.72696173779886,5,13
480,305300,746,secondary,-41.27906957680453,173.2818690429157,14,19
481,344000,364,secondary,-45.07748567911866,170.99468679729964,14,19
482,310400,214,secondary,-42.451465238957304,171.21210032483228,14,19
483,311500,430,secondary,-42.71733902275137,170.97386321067208,11,19
484,311900,134,secondary,-43.14238312365872,170.5515466078825,5,19
485,308900,199,secondary,-42.39901441063302,173.6734087131709,11,19
486,312200,397,secondary,-42.77056920172414,172.84862645580122,5,19
487,312500,231,secondary,-42.81109421596644,173.27599631425318,5,19
488,313200,615,secondary,-43.293787134629376,172.18810648861768,5,19
489,312400,231,secondary,-42.924303794888615,172.63732638998812,5,19
490,314200,1576,secondary,-43.29769589640799,172.5981082765117,14,19
491,316200,1137,secondary,-43.38844926491888,172.64560014696053,14,19
492,106200,236,primary,-35.675387093197926,174.34754886231127,5,11
493,319600,994,secondary,-43.48379358066051,172.62052745436125,14,19
494,340200,585,secondary,-44.37592375911227,171.21807753876104,14,19
495,320000,1465,secondary,-43.4914350520651,172.60757174217514,14,19
496,320900,290,secondary,-43.4986132884056,172.61132695279773,5,19
497,319200,2365,secondary,-43.50670182004582,172.57614338033233,14,19
498,323400,415,secondary,-43.49303313803577,172.64978836309635,14,19
499,327200,1214,secondary,-43.49291738120894,172.7070530044174,14,19
500,327200,1290,secondary,-43.49328570303492,172.7094072434972,14,19
501,323000,793,secondary,-43.519811552879546,172.61753371223634,11,19
502,320700,985,secondary,-43.52917722015849,172.5675648060163,11,19
503,322400,1665,secondary,-43.523802204842255,172.5993594090271,14,19
504,186100,60,primary,-38.370788476476214,175.77042833420109,5,13
505,324900,825,secondary,-43.53002635060575,172.62536695105254,14,19
506,321000,822,secondary,-43.53448370876587,172.55686039317098,11,19
507,323000,992,secondary,-43.518275128644326,172.62326991018512,5,19
508,322000,1213,secondary,-43.53519370736019,172.56510932326256,14,19
509,362400,758,secondary,-46.415561911041,168.39633935611513,11,19
510,322700,1558,secondary,-43.53675229916016,172.57704180944927,5,19
511,326400,1321,secondary,-43.537614306598094,172.6237038768806,14,19
512,165000,237,primary,-37.232911930050136,174.85500915637346,5,11
513,319300,716,secondary,-43.53699601053044,172.5264930400588,11,19
514,326700,1212,secondary,-43.5575143608819,172.5942997316425,11,19
515,329200,2553,secondary,-43.56616907649477,172.62422733430623,14,19
516,330800,577,secondary,-43.55605259604451,172.65352015082652,5,19
517,327100,378,secondary,-43.53905616280765,172.64616073845346,14,19
518,119900,362,primary,-36.76052280614419,174.71118958766087,5,13
519,334000,764,secondary,-43.48936033718994,172.10221220694655,11,19
520,336100,1645,secondary,-43.63487030384199,172.48528442531904,14,19
521,336900,600,secondary,-43.637609006482705,171.64948340034954,11,19
522,336200,673,secondary,-43.7586864027773,172.29304652659332,11,19
523,333500,114,secondary,-43.81082039514866,172.96311748212014,5,19
524,337800,1128,secondary,-43.8917815089295,171.75139865975208,14,19
525,358800,183,secondary,-46.35389964384284,168.01680763682225,11,19
526,338900,711,secondary,-44.09273729303576,171.24881974347483,11,19
527,342000,194,secondary,-44.102147778071775,170.82473282597905,11,19
528,339600,277,secondary,-44.23810383469061,171.29499111711755,11,19
529,340400,463,secondary,-44.38789874077674,171.22615289773626,11,19
530,341300,618,secondary,-44.40274464959021,171.2465408132423,14,19
531,340700,753,secondary,-44.39940109824695,171.22933278598265,14,19
532,341300,512,secondary,-44.40599488429756,171.24478852835188,14,19
533,342800,234,secondary,-44.73804141487564,171.04757175167327,11,19
534,343300,112,primary,-44.743359865349504,170.46412681402464,5,13
535,344200,496,secondary,-45.08854163919889,170.97382846334753,14,19
536,230500,76,secondary,-40.34870912803731,175.61594977708936,5,19
537,325700,296,primary,-43.52757156924112,172.62900013267597,5,13
538,343900,520,secondary,-45.0669119602761,170.98436392596017,14,19
539,345700,171,secondary,-45.12471108013836,170.09930164304225,5,19
540,344700,152,secondary,-45.47914644402044,170.72243524234815,11,19
541,345500,715,secondary,-45.24452966763431,169.38676731178415,14,19
542,345000,486,secondary,-45.043395452520194,169.19430815900967,11,19
543,348400,1338,secondary,-45.025239249538586,168.74969528803553,14,19
544,345800,192,secondary,-45.53796912770593,169.3117922948932,5,19
545,353700,650,secondary,-45.86168052663124,170.5302605657813,14,19
546,351600,974,secondary,-45.870993713675986,170.49519385844042,14,19
547,353400,921,secondary,-45.87502942431648,170.49953378004795,14,19
548,352800,561,secondary,-45.86732152595614,170.50311437747163,11,19
549,352300,631,secondary,-45.882323788744394,170.46534742076372,11,19
550,206800,18,secondary,-38.66828825523645,178.0220351351921,14,19
551,356400,279,secondary,-46.11277915275925,169.9648282100089,11,19
552,356500,579,secondary,-46.24690090902434,169.7290705570315,14,19
553,356900,128,secondary,-46.45425811233997,169.66133869892175,5,19
554,358200,248,secondary,-45.74412348795729,168.4498543035848,11,19
555,360200,447,secondary,-46.10422973906283,168.93143279401625,14,19
556,359900,416,secondary,-46.1059980326038,168.9257489625658,11,19
557,358000,82,primary,-45.97515816327134,168.03373232306294,5,13
558,358600,568,secondary,-46.13726988310919,168.31856704715315,14,19
559,118300,10,secondary,-36.7161313121109,174.74784450650537,11,19
560,357500,249,secondary,-45.40844043565767,167.72424845951863,11,19
561,359100,328,secondary,-46.32411759196263,168.84529554774244,11,19
562,357900,144,secondary,-46.128981722882855,167.6897287877719,5,19
563,361100,1064,secondary,-46.3957515907714,168.3582780170242,11,19
564,362100,1035,secondary,-46.416681705262604,168.36629165739495,11,19
565,170000,67,secondary,-37.251134545757175,174.9620897591998,5,19
566,315000,477,secondary,-43.319494593984906,172.60013607999025,5,19
567,330800,412,secondary,-43.56090257248391,172.65893674033836,5,19
568,307800,252,secondary,-41.52575911128513,173.9428700455226,5,19
569,223900,169,primary,-39.920351358896674,175.02039570934633,5,13
570,144400,385,secondary,-36.89276625498992,174.81532755012145,5,19
571,165500,105,primary,-37.200020053836774,174.89676519541865,5,13
572,160900,271,secondary,-37.028434043923156,174.90043721194135,5,19
573,151000,135,secondary,-36.97891175793982,174.79274692984012,11,19
574,146100,16,secondary,-36.954631640724436,174.770674481201,14,19
575,355300,690,secondary,-45.89526509205173,170.52359445591892,14,19
576,354600,870,secondary,-45.90181055136681,170.49389755980522,14,19
577,354600,463,secondary,-45.90339106988862,170.49191321508474,14,19
578,351600,603,secondary,-45.86317654108783,170.4939086242696,5,19
579,351500,541,secondary,-45.85447973084887,170.4987323617541,11,19
580,355900,170,secondary,-45.92123152215345,169.6878907299461,5,19
581,355800,229,secondary,-45.939347706839555,169.25975272855953,11,19
582,135500,26,secondary,-36.89851052353005,174.70703662368052,14,19
583,168500,588,secondary,-37.21524527035728,175.86757036426252,5,19
584,105500,285,secondary,-35.669665684902476,174.2973169034953,5,19
585,113600,1641,secondary,-36.60521850251006,174.68274086321574,5,19
586,208300,91,secondary,-39.38785456254208,176.8267550083734,14,19
587,204700,123,secondary,-37.63312593953432,178.36481006125476,5,19
588,102600,213,secondary,-35.2413707394379,173.91489082588683,5,19
