oareas,f A,f B,f C,f D,f E,f F,f G,f H,f I,f J,f K,f L,f M,f N,f O,f P,f Q,f R,f S,m A,m B,m C,m D,m E,m F,m G,m H,m I,m J,m K,m L,m M,m N,m O,m P,m Q,m R,m S
355200,0,0,9,0,16,1,2,42,5,0,0,0,4,0,0,72,50,12,2,0,0,20,0,116,2,1,27,15,0,0,0,4,0,0,33,12,13,2
355300,1,0,2,0,3,2,44,7,0,0,2,10,10,4,0,8,20,0,12,2,0,5,0,22,5,32,4,0,0,1,10,10,4,0,3,5,0,12
355400,0,0,1,0,8,0,4,2,7,0,0,6,12,2,0,5,3,0,4,0,0,2,0,61,0,3,1,21,0,0,6,12,2,0,2,0,0,4
355500,0,0,9,0,5,0,2,34,2,0,0,0,6,4,10,125,146,0,6,0,0,20,0,36,0,1,22,6,0,0,0,6,4,10,57,36,0,6
355600,1,0,1,0,4,1,0,12,2,0,0,0,4,27,0,153,106,0,10,2,3,2,0,30,2,0,8,6,0,0,0,4,28,0,70,26,0,10
355700,0,0,0,0,12,0,0,5,1,0,0,0,0,4,0,33,0,8,6,0,0,0,0,86,0,0,3,3,0,0,0,0,4,0,15,0,8,6
355800,236,0,19,0,8,2,24,29,12,1,0,10,2,10,2,76,44,2,38,520,0,43,0,61,5,17,19,36,2,0,10,2,10,2,35,11,2,39
355900,70,0,2,4,3,0,24,15,5,0,0,8,4,4,0,43,23,2,4,154,0,5,8,24,0,17,9,15,0,0,8,4,4,0,19,5,2,4
356000,175,0,5,0,1,0,7,15,4,0,0,0,6,0,0,28,0,2,2,385,0,11,0,7,0,5,9,12,0,0,0,6,0,0,13,0,2,2
356100,201,0,759,2,4,1,2,5,2,0,0,10,0,0,29,76,0,0,2,443,0,1694,5,30,2,1,3,6,0,0,10,0,0,26,35,0,0,2
356200,83,2,34,0,4,0,12,21,4,0,0,4,8,0,219,11,6,0,2,183,14,77,0,30,0,8,13,12,0,0,4,8,0,200,5,1,0,2
356300,96,0,2,0,3,0,16,42,12,1,0,2,0,10,0,38,6,8,0,212,3,5,0,24,0,11,27,36,2,0,2,0,10,0,17,1,8,0
356400,28,0,21,0,44,8,81,42,23,1,0,0,24,2,2,86,123,12,10,62,0,48,0,319,16,59,27,67,2,0,0,24,2,2,39,30,13,10
356500,65,0,30,5,36,11,268,110,17,9,12,6,83,4,102,163,303,12,96,144,0,67,11,258,23,194,71,52,11,8,6,84,4,93,74,75,13,99
356600,43,1,13,0,6,0,32,15,1,0,0,6,6,2,10,2,78,4,0,96,7,29,0,49,0,23,9,3,0,0,6,6,2,10,1,19,4,0
356800,43,2,0,0,1,7,9,2,0,0,0,0,2,2,0,28,0,0,8,96,14,0,0,7,13,7,1,0,0,0,0,2,2,0,13,0,0,8
357300,72,0,4,0,0,0,0,24,13,0,0,3,0,0,0,16,0,0,1,151,0,12,0,0,0,0,11,42,0,0,4,0,0,0,4,0,0,2
357500,24,0,12,0,36,16,164,307,33,15,7,1,33,19,10,112,72,97,29,52,0,36,0,216,39,102,141,100,9,4,2,22,15,10,27,11,85,33
357600,24,0,2,0,3,0,10,14,1,0,0,0,0,11,0,0,0,2,0,52,0,6,0,21,0,6,6,3,0,0,0,0,9,0,0,0,1,0
357700,199,1,0,1,3,2,30,24,8,0,0,3,2,0,0,20,0,0,1,417,7,0,6,18,5,18,11,26,0,0,4,1,0,0,5,0,0,2
357900,204,0,23,0,3,1,10,52,52,0,0,3,0,0,0,50,18,22,3,426,0,67,0,18,2,6,24,158,0,0,4,0,0,0,12,2,19,4
358000,136,12,5,0,2,0,10,11,24,0,0,3,0,0,0,20,3,0,3,284,72,15,0,14,0,6,5,73,0,0,4,0,0,0,5,0,0,4
358100,195,0,4,0,3,0,18,28,15,0,0,5,20,4,2,39,0,2,5,407,3,12,0,18,0,11,13,47,0,0,7,14,3,2,9,0,1,6
358200,177,0,3,0,9,1,15,11,5,0,0,7,5,0,4,73,14,0,1,369,0,9,0,54,2,9,5,15,0,0,9,3,0,4,18,2,0,2
358300,222,0,19,0,12,5,0,0,19,0,0,1,0,9,0,44,25,6,1,464,0,57,0,72,11,0,0,57,0,0,2,0,7,0,11,4,5,2
358400,276,0,0,0,13,5,34,28,8,0,2,9,20,0,4,44,18,11,16,578,0,0,0,78,11,21,13,26,0,1,11,14,0,4,11,2,9,18
358500,149,10,0,0,9,2,10,0,0,0,0,11,0,0,0,28,0,0,1,312,60,0,0,54,5,6,0,0,0,0,14,0,0,0,6,0,0,2
